상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
MA010120220804390574,르꼬숑,64,62,2,96.9,3.1
MA010120220800552664,먹쉬돈나 삼청동점,63,54,9,85.7,14.3
MA010120220803292230,정담은보쌈 북촌점,59,57,2,96.6,3.4
MA010120220807041580,인사동쭈꾸미,58,58,0,100.0,0.0
MA010120220808277059,마음을담아내면,58,56,2,96.6,3.4
MA010120220809328625,벨라쿠키 안국,57,54,3,94.7,5.3
MA010120220803570465,일월카츠,57,57,0,100.0,0.0
MA010120220800033800,북촌김치재,57,53,4,93.0,7.0
MA010120220807100155,베르트,54,53,1,98.1,1.9
MA010120220808443747,화양연화,53,51,2,96.2,3.8
MA010120220803291859,대림국수 안국점,53,51,2,96.2,3.8
MA010120220811199145,청국장밥,53,50,3,94.3,5.7
MA010120220808298620,아티장 크로아상,52,48,4,92.3,7.7
MA010120220813568889,티테라피,52,51,1,98.1,1.9
MA010120220808041049,북촌손만두 삼청동점,51,49,2,96.1,3.9
1131,피크닉,50,49,1,98.0,2.0
MA010120220805435729,몽중헌 안국점,49,47,2,95.9,4.1
MA010120220806582351,베테카텐,48,41,7,85.4,14.6
MA010120220800074991,대장장이화덕피자,48,46,2,95.8,4.2
MA010120220809751258,밀과보리,48,48,0,100.0,0.0
MA010120220805053972,카페 르꽁뜨,48,48,0,100.0,0.0
MA010120220800022083,순이네가게,47,44,3,93.6,6.4
MA010120220812927417,애호락,47,45,2,95.7,4.3
MA010120220800018937,등촌샤브칼국수 안국역점,46,42,4,91.3,8.7
MA010120220808111060,어텐디 북촌,46,44,2,95.7,4.3
MA010120220800038961,삼청동우피,45,45,0,100.0,0.0
MA010120220803201190,스미레돈카츠 안국점,44,44,0,100.0,0.0
MA010120220800023963,커피 팩토리,44,36,8,81.8,18.2
MA010120220800658023,시래기담은,43,43,0,100.0,0.0
MA010120220801838345,아이사구아,42,37,5,88.1,11.9
MA010120220809241081,헤비스테이크 안국역점,41,40,1,97.6,2.4
MA010120220812047933,미술관옆 돈까스,41,40,1,97.6,2.4
MA010120220801725570,꿀밥상,39,37,2,94.9,5.1
MA010120220813606455,제이네,38,36,2,94.7,5.3
MA010120220800034358,지유가오카핫초메 삼청점,38,34,4,89.5,10.5
MA010120220810961733,슬로우파크,38,38,0,100.0,0.0
MA010120220803335297,마산해물아구찜,38,35,3,92.1,7.9
MA010120220808699965,반타이,38,38,0,100.0,0.0
MA010120220805529268,비어셰프냐항,37,36,1,97.3,2.7
MA010120220810071022,기와탭룸,37,37,0,100.0,0.0
MA010120220802933845,언코르크드,35,35,0,100.0,0.0
MA010120220806491125,소선재,35,31,4,88.6,11.4
MA010120220812383243,푸드떼,34,32,2,94.1,5.9
MA010120220807163036,북촌호떡,34,33,1,97.1,2.9
MA010120220800032118,커피브론즈,34,32,2,94.1,5.9
MA010120220800139602,더베이커스테이블,33,30,3,90.9,9.1
MA010120220809881804,담미온 안국점,33,30,3,90.9,9.1
MA010120220807130838,비담 CAFE&BAR,33,32,1,97.0,3.0
1105,델픽,32,31,1,96.9,3.1
MA010120220813777954,북촌막국수,31,28,3,90.3,9.7
MA010120220810415045,리틀버틀러,31,30,1,96.8,3.2
MA010120220807099433,부영도가니탕,30,30,0,100.0,0.0
MA010120220800032385,플로라,30,29,1,96.7,3.3
MA010120220810014678,이채 카페,30,30,0,100.0,0.0
MA0101202211A0077915,교촌치킨 안국점,30,27,3,90.0,10.0
MA010120220804973191,이화돈까스,30,30,0,100.0,0.0
MA010120220800038802,하프커피 안국,30,30,0,100.0,0.0
MA010120220812085884,팔발라 삼청본점,29,27,2,93.1,6.9
MA010120220800073709,두레 국립현대미술관서울점,29,26,3,89.7,10.3
MA010120220808352010,행복한 베이커리카페,29,29,0,100.0,0.0
MA010120220800038144,동백식당,29,29,0,100.0,0.0
MA010120220800033742,다사리아,28,28,0,100.0,0.0
MA010120220810888510,카페진선,28,27,1,96.4,3.6
MA010120220800030270,국수명가,27,25,2,92.6,7.4
1107,큰기와집,27,26,1,96.3,3.7
MA010120220800022084,봉궁,26,26,0,100.0,0.0
MA010120220810042383,아비꼬 안국역점,26,25,1,96.2,3.8
MA010120220800031301,만수의정원,25,23,2,92.0,8.0
MA010120220812957075,콜디우드 안국,25,25,0,100.0,0.0
MA010120220800023964,황금정,24,23,1,95.8,4.2
MA010120220810354862,실리그린,24,24,0,100.0,0.0
MA010120220811476208,가례원,24,24,0,100.0,0.0
MA010120220813131895,호아드 카페&갤러리,24,24,0,100.0,0.0
MA010120220800025520,비원손칼국수,24,20,4,83.3,16.7
MA010120220811690627,카페죠꽁드,24,24,0,100.0,0.0
MA010120220811905091,보드레 안다미로,24,23,1,95.8,4.2
MA010120220808175277,재동맥주,24,23,1,95.8,4.2
MA010120220812169103,호랑이카레,24,22,2,91.7,8.3
1106,단상,23,22,1,95.7,4.3
MA010120220810193035,백년토종삼계탕,23,21,2,91.3,8.7
MA010120220808590361,아재커피 북촌점 AZE COFFEE,23,21,2,91.3,8.7
MA010120220813940667,도라보울,23,22,1,95.7,4.3
MA010120220812103966,카페포엠 북촌점,23,21,2,91.3,8.7
MA010120220806167899,네마커피 삼청점,22,21,1,95.5,4.5
MA010120220813547232,길운구락부 & Bar,22,20,2,90.9,9.1
MA010120220800001519,서울풍경,21,21,0,100.0,0.0
1114,플롭 안국,21,18,3,85.7,14.3
MA010120220800032015,57th Cafe,21,19,2,90.5,9.5
1120,퀸넬브릴 삼청,21,21,0,100.0,0.0
MA010120220810440902,바스켓12 계동,21,21,0,100.0,0.0
1102,고메오드,20,19,1,95.0,5.0
MA010120220812113355,이니미니마니모,20,20,0,100.0,0.0
MA010120220800032298,커피로드102,20,19,1,95.0,5.0
1118,거울한옥 미러룸,20,20,0,100.0,0.0
MA010120220809999893,모퉁이네,19,18,1,94.7,5.3
MA010120220800040317,더한옥,19,18,1,94.7,5.3
MA010120220806737409,황칠가 안국점,19,19,0,100.0,0.0
MA010120220806740836,아재커피 삼청점,19,19,0,100.0,0.0
MA010120220800076059,CFlamingo,19,18,1,94.7,5.3
MA010120220808109821,프레스도넛 북촌다방점,19,19,0,100.0,0.0
MA010120220808167732,까페 골목숲,18,17,1,94.4,5.6
MA010120220806685535,노우즈안국,18,18,0,100.0,0.0
MA010120220807721655,소온table,18,17,1,94.4,5.6
MA010120220800034405,계동피자,18,15,3,83.3,16.7
MA010120220804370322,삼지,17,17,0,100.0,0.0
MA010120220809977525,묘미,17,17,0,100.0,0.0
MA010120220800015898,하궁,17,17,0,100.0,0.0
MA010120220800692786,그린마일커피 북촌점,17,17,0,100.0,0.0
MA010120220800072025,단풍나무집 삼청점,17,14,3,82.4,17.6
MA010120220804438921,런던베이글뮤지엄,17,16,1,94.1,5.9
MA010120220812625662,리김밥 현대건설점,17,17,0,100.0,0.0
1110,삼방매,17,17,0,100.0,0.0
1126,고디바 삼청점,16,13,3,81.2,18.8
1125,커넥트계동,16,16,0,100.0,0.0
1112,후스테이블,16,16,0,100.0,0.0
MA010120220813233283,국수명가 가회점,16,16,0,100.0,0.0
MA010120220800019161,다락정,16,15,1,93.8,6.2
MA010120220801148870,쏘리 에스프레소바 창덕궁점,16,16,0,100.0,0.0
MA010120220808339921,첫번째집,16,14,2,87.5,12.5
MA010120220805030537,은설설렁탕,15,15,0,100.0,0.0
MA010120220806497802,소격동60,15,15,0,100.0,0.0
MA010120220806899504,온마을,15,14,1,93.3,6.7
MA010120220800028269,화동옥,15,13,2,86.7,13.3
MA010120220810334897,북촌연잎밥,14,14,0,100.0,0.0
MA010120220800028746,파툼,14,12,2,85.7,14.3
MA010120220800022467,마나님 레시피,14,10,4,71.4,28.6
MA010120220800013216,모미지,13,13,0,100.0,0.0
MA010120220800032715,전다,13,13,0,100.0,0.0
MA010120220800000955,뭉치바위,13,12,1,92.3,7.7
MA010120220805346843,달별,13,13,0,100.0,0.0
MA010120220800036215,이밥,13,13,0,100.0,0.0
MA010120220803313655,카페다겸,13,13,0,100.0,0.0
MA010120220800040531,비엣 꽌,13,13,0,100.0,0.0
MA010120220800034470,한경헌,13,11,2,84.6,15.4
MA010120220813194031,파인콘,12,12,0,100.0,0.0
MA010120220808273457,와인이지,12,11,1,91.7,8.3
MA010120220800007897,원조부대고기,12,11,1,91.7,8.3
MA010120220800075901,삼청동 만정,12,11,1,91.7,8.3
MA010120220803286614,삼청동김치찌개,11,11,0,100.0,0.0
MA010120220800037960,진성옛날소머리국밥집,11,11,0,100.0,0.0
MA010120220813297618,계동 이잌,11,10,1,90.9,9.1
MA010120220805494648,mishmash,11,11,0,100.0,0.0
MA010120220800034352,카페레이서,11,11,0,100.0,0.0
MA010120220800039994,행복두배통다리치킨,10,10,0,100.0,0.0
MA010120220800002629,향나무세그루,10,10,0,100.0,0.0
MA010120220808676069,스미스가 좋아하는 테라스,10,9,1,90.0,10.0
MA010120220811745574,콩두부사랑,10,9,1,90.0,10.0
MA010120220808150820,정사장,10,9,1,90.0,10.0
MA010120220800001520,삼청동 로마네꽁띠,10,10,0,100.0,0.0
MA010120220806024744,라 끌레,10,9,1,90.0,10.0
MA010120220800039672,안국정,10,10,0,100.0,0.0
MA010120220808087786,키즈나,10,10,0,100.0,0.0
MA010120220800022087,북촌쭈꾸미,10,10,0,100.0,0.0
MA010120220810660550,베이킹 도우,10,10,0,100.0,0.0
MA010120220810887507,계동만담,10,9,1,90.0,10.0
MA010120220800090750,북촌집,10,10,0,100.0,0.0
MA010120220800023368,편안한집,9,7,2,77.8,22.2
MA010120220800037739,카페이드라,9,9,0,100.0,0.0
MA010120220813135373,카타딘,9,9,0,100.0,0.0
MA010120220812144776,아붕,9,9,0,100.0,0.0
MA010120220809277737,갈로팡,9,9,0,100.0,0.0
MA010120220800029012,묵호횟집,9,8,1,88.9,11.1
1101,개성철렵 & 루프탑 나위,9,9,0,100.0,0.0
MA010120220800038193,진국곰탕,8,8,0,100.0,0.0
MA010120220813876201,와이엔,8,7,1,87.5,12.5
MA010120220809776485,코닉,8,8,0,100.0,0.0
MA010120220805518407,아트마,8,8,0,100.0,0.0
MA010120220809608034,카페노티드안국점,8,8,0,100.0,0.0
MA010120220800061245,별궁식당,8,7,1,87.5,12.5
MA010120220813948097,카페호미,7,6,1,85.7,14.3
MA010120220808224171,아키,7,6,1,85.7,14.3
MA010120220814159400,북촌진곰탕,7,6,1,85.7,14.3
MA010120220814159553,카페얼티밋,7,7,0,100.0,0.0
MA010120220808148367,신일룡의 호두파이,7,7,0,100.0,0.0
MA010120220811929675,갤러리더스퀘어,7,7,0,100.0,0.0
MA010120220800032823,지밥,7,7,0,100.0,0.0
MA010120220805858556,무에,7,7,0,100.0,0.0
MA010120220800027097,용수산 비원점,7,7,0,100.0,0.0
MA010120220800069263,온더그라운드,7,5,2,71.4,28.6
MA010120220800036622,북촌스토리,6,6,0,100.0,0.0
MA010120220800023755,치킨하우스,6,6,0,100.0,0.0
1133,비어있는 삶,6,6,0,100.0,0.0
MA010120220800036098,레이어드안국점,6,6,0,100.0,0.0
MA010120220800101998,빅스트로우 북촌점,6,6,0,100.0,0.0
MA010120220800006673,아꼬떼,6,5,1,83.3,16.7
MA010120220800041207,북촌한식뷔페,6,6,0,100.0,0.0
MA010120220800034476,북촌삼계탕,6,6,0,100.0,0.0
MA010120220803780796,파티세리희원,6,6,0,100.0,0.0
MA010120220803789331,고이커피,6,6,0,100.0,0.0
MA010120220800002065,삼청동수제비,6,6,0,100.0,0.0
MA010120220800304264,깡통만두,6,6,0,100.0,0.0
MA010120220806641494,오레노라멘,5,5,0,100.0,0.0
MA010120220800017102,블루몬테,5,5,0,100.0,0.0
MA010120220812732824,랜디스도넛안국점,5,5,0,100.0,0.0
MA010120220800021017,한뫼촌,5,5,0,100.0,0.0
MA010120220805370711,현닭매운탕,5,4,1,80.0,20.0
MA010120220800000992,마산복집,5,5,0,100.0,0.0
MA010120220804913215,카페3청,5,5,0,100.0,0.0
MA010120220800026481,동네커피,4,4,0,100.0,0.0
1127,아다지에토,4,4,0,100.0,0.0
MA010120220812392823,마칸틴,4,4,0,100.0,0.0
MA010120220800024874,카페공드리,4,4,0,100.0,0.0
MA010120220800555932,돌담집,4,2,2,50.0,50.0
MA010120220800031284,오뉴하우스,4,4,0,100.0,0.0
MA010120220800034190,카페 No37,4,4,0,100.0,0.0
MA010120220813047723,률,4,4,0,100.0,0.0
MA010120220809894482,북촌도담,4,4,0,100.0,0.0
MA010120220808003151,크렘브,4,4,0,100.0,0.0
MA010120220800030400,비원커피,4,4,0,100.0,0.0
MA010120220802904538,다운타우너안국점,4,3,1,75.0,25.0
MA010120220800029549,CAFE D_55,4,4,0,100.0,0.0
MA010120220813370238,루이스 카페,4,4,0,100.0,0.0
MA010120220803883316,국빈행성,4,4,0,100.0,0.0
MA010120220802586539,북촌애가삼도예카페,4,4,0,100.0,0.0
MA010120220808671162,솔트24,4,4,0,100.0,0.0
MA010120220800039628,망고랑 본점,4,4,0,100.0,0.0
MA010120220811840352,더블컵커피,4,4,0,100.0,0.0
MA010120220806637189,기차 앤 초밥,3,2,1,66.7,33.3
MA010120220810300033,코피발리안국점,3,2,1,66.7,33.3
MA010120220809783975,중경삼림,3,3,0,100.0,0.0
1121,월하보이,3,3,0,100.0,0.0
MA010120220812491842,스기모토,3,3,0,100.0,0.0
MA010120220804612480,북촌손만두북촌점,3,3,0,100.0,0.0
1116,합 원서점,3,3,0,100.0,0.0
MA010120220800026236,수왕,3,3,0,100.0,0.0
MA010120220800071435,로씨니,3,3,0,100.0,0.0
MA010120220806948249,미돈,3,3,0,100.0,0.0
MA010120220814255473,3안,3,3,0,100.0,0.0
MA010120220808662727,가배도삼청점,3,3,0,100.0,0.0
MA010120220800686302,톤티커피,3,3,0,100.0,0.0
MA010120220808080068,스몰하우스카페,3,3,0,100.0,0.0
MA010120220809757907,유즈라멘안국점,3,3,0,100.0,0.0
MA010120220804027016,안국 153,3,2,1,66.7,33.3
MA010120220803856963,핸디크레프티,3,3,0,100.0,0.0
MA010120220800003456,안동손칼국수 계동점,3,3,0,100.0,0.0
MA010120220803457302,카페로쏘,3,3,0,100.0,0.0
MA010120220800014949,문화공간아리랑,3,3,0,100.0,0.0
MA010120220800029250,브람스,3,3,0,100.0,0.0
MA010120220804681493,차마시는뜰,2,2,0,100.0,0.0
MA010120220805278803,카페상국,2,2,0,100.0,0.0
MA010120220800895296,이태리재,2,2,0,100.0,0.0
MA010120220800008730,로마네 꽁띠,2,2,0,100.0,0.0
MA010120220806389097,송재헌,2,2,0,100.0,0.0
MA010120220800036858,남원,2,2,0,100.0,0.0
MA010120220814111792,보이차전문점 명가원,2,2,0,100.0,0.0
MA010120220800019013,풍경,2,2,0,100.0,0.0
MA010120220800031143,소소,2,2,0,100.0,0.0
MA010120220811299767,감동칩스 북촌본점,2,2,0,100.0,0.0
MA010120220800099165,종로삼대복집,2,1,1,50.0,50.0
MA010120220800069858,두가헌 레스토랑,2,2,0,100.0,0.0
MA010120220803096239,북촌해물,2,2,0,100.0,0.0
MA010120220808520136,커피인뜨락,2,2,0,100.0,0.0
MA010120220808558005,배떡 로제떡볶이 종로점,2,2,0,100.0,0.0
MA010120220804339315,온6.5,2,2,0,100.0,0.0
MA010120220805284910,떼레노,2,2,0,100.0,0.0
MA010120220809869174,카페 꼬뮨,1,1,0,100.0,0.0
MA010120220805042424,산체스 막걸리,1,1,0,100.0,0.0
1130,브릭샌드 삼청점,1,1,0,100.0,0.0
MA010120220809878317,이도곰탕계동직영점,1,1,0,100.0,0.0
MA010120220814025679,북촌한옥집,1,1,0,100.0,0.0
MA010120220800005888,천하보쌈,1,1,0,100.0,0.0
1100,소금집델리안국점,1,1,0,100.0,0.0
MA010120220807415028,오니,1,1,0,100.0,0.0
MA010120220803106174,배스킨라빈스삼청마당점,1,1,0,100.0,0.0
1117,더 레스토랑,1,1,0,100.0,0.0
MA0101202210A0071345,오픈원,1,1,0,100.0,0.0
MA0101202210A0083421,탈스티,1,1,0,100.0,0.0
MA010120220800029309,풍년쌀농산,1,1,0,100.0,0.0
MA010120220800074209,황생가칼국수,1,1,0,100.0,0.0
MA010120220804316138,커피방앗간,1,1,0,100.0,0.0
17090044,블루보틀 삼청 한옥,1,1,0,100.0,0.0
1132,Floor For Fiction,1,1,0,100.0,0.0
MA010120220805274566,법원,1,1,0,100.0,0.0
MA010120220800039274,보메,1,1,0,100.0,0.0
MA010120220800072609,콩두 점점,1,1,0,100.0,0.0
MA010120220804515854,삼청동호떡,1,1,0,100.0,0.0
