상가업소번호,가게명,리뷰,evaluation,sentiment,persent
MA010120220802418610,한신포차 신촌점,닭발이랑 육전 조합 처음 먹어봤는데 너무 맛있었어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,국물닭발 좋네요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,한신은 말해뭐해❗️저는 특히 육전 추천드립니당✨,(긍정 확률 : 0.92) 긍정,긍정,0.92
MA010120220802418610,한신포차 신촌점,신분증 검사를. 너무 빡빡하게 합니다 40이 넘었는데.. 모바일 신분증도 안되고  먹다가 신분증검사하는거 봤는데. 거짓말아니고 여섯팀 이상 쫓겨남,(부정 확률 : 0.95) 부정,부정,0.95
MA010120220802418610,한신포차 신촌점,언제나처럼 닭발 시켰다가 얼그레이하이볼 보고 시켜봤는데 너무 맛있어요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,직원분들 너무너무 친절해요 살면서 여태 간 한신포차 직원들은 다 예의없었는데 여긴 최고예요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,항상 맛있게 잘 먹고있습니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,너무 예뻐요 ㅠㅠ 특히 인테리어가 진짜 너무너무 예쁩니다!! 생일파티 하기에 특히 너무 좋을 것 같은 곳이에요 .. 연말 파티두…,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,~~~*,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,"안주가 양식메뉴를 시키든 한식메뉴를 시키든 다 평균이상으로 맛있네요 ~ 맛있는 시간으로 술보다 안주가 주가 되는, 맛도 가격도 합리적인 곳!",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,스카이문 너무 예쁜 곳 같아요~ 갑자기 뭔가 환상 속으로 빠지는 분위기이구요~여름되면 루프탑도 너무 낭만적일거 같구요~피자랑 오렌지 얼라이브 맛있게 먹고 갑니다~ ^^,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,분위기도 너무좋고 칵테일 너무맛있어요!!! 친구들과 와서 얘기하며 놀기도 너무 좋습니당 포토존도 왕많아요 ㅎㅎㅎ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,사장님도 친절하시고 인테리어 디자인도 예뻐요~!! 포토존도 잘 되어있어서 데이트 코스로 추천해요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,맛있고 친절해요! 디제잉도 하시네요 대박,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,가게 내부가 엄청 넓고 인테리어도 화려해요!그래서 단체 손님이 많은 것 같았습니다ㅎㅎ안주 종류도 많고 다 맛있었어요!👍🏻근데 가게 규모에 비해 화장실이 조금 부족한 것 같아요..!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,굿굿 맛나요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,자리가 넓어서 좋네요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,가성비 좋게 술마시기 나쁘지 않아요 내부도 꺄끗한 편이에요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,신촌 갑 가성비,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,오 깔끔하고 좋아요 !,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,매장이 엄청 크고 사람도 많아요! 분위기는 좋습니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,막걸리 종류 다양하고 안주도 이색적이네요 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,찰리주막 다른 지점만 가보다 신촌점도 있어서 와봤어용! 지점마다 메뉴들이 약간씩 다른가봐요 신기하네용ㅎㅎㅎ 여기는 과일 먹걸리 마시러 가야죵~~ 핑크쉬림프떡볶이랑 고구마치즈김치전 빠밤! 떡볶이는 처음 봐서 시켜봤는데 약간 에..? 한 게 떡이 말랑말랑 한 것도 있구 딱딱한 것도 있구 그래서 흠.. 덜 익혀졌나했어요ㅎ 김치전 고구마무스?가 약간 느끼한가 했지만 맛있렀어용 요거는 맛 없기 쉽지 않은 듯 합니당 ! 빙수 먹어보고 싶었눈데 배불러서 실패..!ㅎ 직원 분 친절하셔서 좋았습니당 +화장실 가는 길에 흡연? 하는 곳이 있어서 화장실 앞까지 콜룩켈룩하면서갔어여,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,오랫만에 신촌으로의 나들이.... 친구와 신촌 현백뒷골목길을 걷다가 우연히 들어간 곳입니다. 사진을 깜빡하고 못 찍어 아쉬운데..ㅠㅠ 짬뽕탕 맛있더군요. 다음에 또 신촌을 간다면 또 방문하겠습니다^^  그런데 안주가 늦게 나오는 단점이 있긴 합니다..그냥 아무 생각없이 수다를 떨고 있으면 안주가 나옵니다..ㅋ. 행복한 주말되세요..,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,맛나요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,:),(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220810411425,찰리주막 신촌점,깨끗하고 좋네요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,직원분 친절하시고 막걸리 넘 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,분위기 좋고 가성비 좋고 술종류 많고!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,"늦게 가면 자리가 없어요,,, ㅠ",(부정 확률 : 0.69) 부정,부정,0.69
MA010120220810815413,코지라운지,분위기도 좋고 친절하시고 맛있었어요 !,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,이름답게 코지한 분위기에서 얘기하기 좋은 칵테일바였습니다. 분위기도 좋았고 음식도 맛있었고 직원분들도 친절하셔서 기분 좋고 마시고 먹고 갔습니다!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,"분위기 너무 좋았고, 칵테일 종가 굉장히 많았어요ㅋㅋㅋ 그리고 안주도 맛있었습니다-!굿!!",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,기본 안주 구성이 굉장히 좋네요 칵테일도 저렴하고요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,음식 맛있고 분위기 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,👍👍,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220805834391,야곱의축복 신촌점,존맛탱 너무 친절하게 해주셔서 기분좋게 먹었습니다 감사합니다 앞으로도 많이올게여 감사합니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,맛있어요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,곱창 오랫만에 먹었는데 맛있었어요 사장님도 친절해요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,굿나인,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,2단계 생각보다 엄청 맵지 않고 살짝 쓰읍 😝맛있게 매워요 !! 너무 맛있어서 알곱창까지 !! 숯불향나서 더 맛있었어요 뽀끔밥까지 클리어ㅎㅎㅎ  (마지막 국룰인거 아시져 !! 꼭 드세요😏),(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,사장님이 엄청 친절하세요~!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,잡내 없이 맛있어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220806790112,푸른바다찜탕,양도 많고 정말 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,"칵테일도 너무 맛있고, 사장님도 너무 친절하세요! 👍",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,안주가 맛있네요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,사장님이 정말 친절하세요~^^ 칵테일도 너무 맛있어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,주류가 저렴해서 좋았어요! 간이 세다고 하는데 미쿡스타일이라서굿^^! 외국인손님이 많고 피맥하기 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,맥주도 맛있고 피자도 맛있었어요🍕,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,조아용,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220812318844,비어어클락,좋아요 외국에 간 느낌!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,처음 방문해봤는데 진짜 맛집이네요..🥰 탄탄면 2단계 마라탕은 3단계했는데 딱 적당했던 것 가탕요! 평소에 전 마라탕 1.5-2단계 정도 먹어용!  다음에 탄탄면 먹으러 또 올 것 같아요 :),(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,비건맛집 호탕마라탕,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,최고시다 호탕 마라탕 신촌 오면 맨날 이거 먹어오,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,3년간 꾸준히 매주 먹고 있어요 넘 맛있어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,너무 맛있어요 다음에 또 올거같아요.,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,랄랄랄 너무 맛있음요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,매운거 잘 못먹는데.. 마라샹궈 조금매움이었나.. 안매운거 안된대서 그 다음꺼로 시켰는데도 너무 매워서 슬펐습니다. 맛있게먹을수있었는데... 친구가 원랜 이정도로 맵진않는데 오늘따라 더 맵다해서 너무 아쉬웠습니다. 보통으로 잘못주신듯? 그래도 맛있긴했습니다.,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,맛있어용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,짱빵 호탕마라탕 짱,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,7년 동안 먹은 마라탕 중에서 제일 맛있어요! 새로운 곳을 가봐도 아직 호탕만한 곳이 없네요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,너무 맛있어서 허겁지겁 먹느라 사진도 까먹은.. 이 천상의 마라탕... 역시 마라탕은 호탕마라탕!! 👏🏻👏🏻👏🏻,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,맛있어요!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,맛있어요~~~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라중독~~~맛있어용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,알싸해요 맛잇러용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,항상 맛있게 먹고 있어요~ 멀리서도 찾아와요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,신촌에서 마라탕 가장 맛있는 집,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,체고채거체고,(부정 확률 : 0.91) 부정,부정,0.91
MA010120220812974480,호탕마라탕,냐냠,(긍정 확률 : 0.91) 긍정,긍정,0.91
MA010120220812974480,호탕마라탕,맛있어욤! 👍🏻,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,굿 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,설렁탕 마냥 밍밍한 마라탕 싫어하는데 호탕마라탕은 얼얼해서 너무 좋아요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,매번 맛있어요 ^^,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,호탕마라탕 제일 맛있어요~~ 마라탕 먹고 싶으면 항상 여기 와요 꿔바로우랑 샤오롱바오 다 맛나용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,비건마라탕이 되어서 좋아요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,💖❤️💖❤️💖❤️🫠❤️💖❤️,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220812974480,호탕마라탕,헐 진짜 맛있어요 웬만하면 프랜차이즈 안 다니는데 진짜 괜찮네요 굿입니다 맵지 않고 얼얼해요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라탕 처음 먹어봤는데 맛있었어요. 중국식 수제 버거는 ... ㅋ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,탄탄면 완전 제 취향!! 탄탄몀 첨 먹어봤는데 면도 탱탱하고 진짜 시원하고 맛있었어요!! 이게 중국식 짜장면이구나 싶은느낌  그리고 꿔바로우 최고최고최고였어요! 작은 사이즈 주문했는데 양도 진짜 괜찮고 바삭바삭 끝판왕이에요 호불호 갈릴맛이 아니라고 생각했는데 어떤 리뷰 보니 별로라는 사람이 있더라구요? 왜징 이해안되게 맛났어요  마라탕은 2단계 조금 매운맛시켰는데 별로 안매워요 너무 안 매워서 놀랐음요 그래서 더 맵게 해달라고 했더니 친절하게 그렇게 해주시더라구요! 넘 친절보스 👍 맵찔이라도 3단계 이상은 시켜야할 거 같아요. 저는 평소에 신전 순한맛만 먹는데 여기 마라탕은 최소 3단계 추천합니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,채수 마라탕 맑아서 좋아요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,맛있어요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,최고 최고 최고의 마라탕,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,내가 너무너무 사랑하는 호탕마라탕  신촌 명물입니다~~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,치즈볶음밥 비주얼 최고예욤 ㅎ_ㅎ 삼겹살도 두툼하니 넘 맛나구~~~ 웨이팅 할만한 곳입니당🐷👍🏻👍🏻👍🏻,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,음 애매해요 제 기준에선 ㅜ,(긍정 확률 : 0.51) 긍정,긍정,0.51
MA010120220800846433,한림돈가 본점,음식 맛있고 친절하시고 좋았어요. 고기 드시고 볶음밥 필수!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,문앞에 위치하면 추워요 ㅠ 그래도 잘 먹었어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,고기가 아주 맛있어요!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,삼겹살이 메인인 식당이에요!  초벌되어서 나오니까 금방 먹을 수 있어서 좋네요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,매우 친절하지않음--!!!!!!!!!!!!,(긍정 확률 : 0.93) 긍정,긍정,0.93
MA010120220800846433,한림돈가 본점,맛있는데...친절하진 않아요.,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220800846433,한림돈가 본점,고기는 맛이 있던것 같긴 하나 덩치크고 문신있는 직원분께서 너무 불친절하여 좋지 않은 기억이 훨씬 많이 남았습니다. 안좋은 일이 계셔서 그날따라 날이 서계셨던것인지 시종일관 퉁명하게 응대해주셨고 들어갈때부터 자리 정리해야하니 나가라는 짜증섞인 말을 듣고 테이블 여러개가 비어 있는 상황에서 밖에서 대기하다 들어가서 고기를 굽는 도중에 오셔서 버섯잘라야하니 자신이 가면 고기 구우라며 나무라셨고 볶음밥을 시켰을때는 15분 이상 걸리는데 정말 시킬 것인지 재차 물어보신 것이 기억에 남습니다. 누군가와 소중한 시간을 보내기 위하여 가기에는 좋지 않은 장소인 것 같습니다.,(부정 확률 : 0.75) 부정,부정,0.75
MA010120220800846433,한림돈가 본점,한림돈가 본점 유명하다고 해서 갔는데 진짜 대박이었어요 ㅎㅎ 정말 맛집이었고요 ~~^^ 외국인도 많이 오더군요~~ 앞으로 더욱 대박나세요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,꼬들목살... 대존맛... 진짜.. 감격적... 갓김치.. 대존맛.. 고사리.. 하.. ㅠㅠ 갓김치 구워먹는게 이렇게 맛있을 줄이야 더 달라고 했는데 이모님이 듬뿍 주고 가셔서 맛있게 잘 먹었습니다,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220800846433,한림돈가 본점,고기 존맛인데 김치볶음밥이 찐이네요,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220800846433,한림돈가 본점,고기가 부드러워..맛있었어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,"고기도 맛있고,반찬들이 잘 나와요 된장찌개 건강식이여서 좋았어요",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,맛있어요!!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,사장님이 살짝 불친절하지만 맛은 있어요~,(긍정 확률 : 0.93) 긍정,긍정,0.93
MA010120220800846433,한림돈가 본점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,"알목살 존맛탱,,,웨이팅 있지만 또가서 먹고싶어요",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,"한림돈가 체인점이 많은건 알고있었는데, 여기가 본점이라니 놀랐어요!  워낙 믿고 가는 체인점이라 👍 신촌에 놀러온 겸 남자친구랑 저녁 먹을 곳 찾다가 어? 여기도 한림돈가가 있네? 하고 들어왔거든요 ㅎㅎ 역시 믿고 먹는 삼겹살과 깨끗한 밑반찬~  그리고 코로나 시국에 1회용 생수 주셔서 위생적이었어요👍 고기가 맛있는건 말해뭐해~ 오늘은 차를 가져와서 한잔 하진 못했지만, 우리 술도 다양하게 취급하고 있는 착한 가게 한림돈가네요😁 세가지 하이볼도 다음엔 꼭 먹어보려구요! 앞으로도 오래오래 번창하세요 🙏",(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220800846433,한림돈가 본점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,갓김치가 짱~~~~!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,지금까지 많은 고기집을 다니면서 세팅 후 자기가 부를때까지 가게 밖에서 기다리라고 한데는 처음일 뿐더러 채소쌈(상추4~5장 정도 깻잎 2장) 리필 안되는 곳 처음이었음 비싸면 서비스가 좋기라도 하던가 그것도 아니고 (고기 초벌된거 가져다주고 가위로 잘라준 후 부터는 알아서 구워먹어야함) 비싸기만하고 고기양도 적어서 딱히 또 갈 메리트를 못 느껴서 다신 안갈거임 인스타 사진용으로 가는 고깃집,(부정 확률 : 0.51) 부정,부정,0.51
MA010120220800846433,한림돈가 본점,맛있어요 반찬들도 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,친구가 인스타에서 본 맛집이라며 데려갔는데 가격은 웬만한 맛집맛큼 받는데  고기가 생각보다 질기고 그냥 그런 평범한 맛. 볶음밥에 치즈추가도 그냥그냥 술 종류에 전통주 종류가 많아서 좋았습니다,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220813682123,꼼보포차 신촌2호점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,굿굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,사장님 너무 친절하셔용,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220813682123,꼼보포차 신촌2호점,음식도 맛있고 친구들과 기분좋은 만들기 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,홍대 맛집,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,술집 육회치고 맛있어요 다만 너무 짜요!!!!!!!! 라면 맛있어요~!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,떡볶이에서 생강맛 밖에 안나요 지금은 어떨런지 몰겠네요,(부정 확률 : 0.72) 부정,부정,0.72
