상가업소번호,가게명,리뷰,evaluation
MA010120220805435729,몽중헌 안국점,친절하고 음식도 맛있어서 좋아요🙌,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,칠리새우 너무 맛있어요!!,(긍정 확률 : 0.97) 긍정
MA010120220805435729,몽중헌 안국점,조용히 식사하기 좋아요.,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,코스 요리 너무 맛있네요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,중식당에서 코스로 먹었어요. 음식도 다양하고 맛도 다양하게 맛있네요. 추천드려요.,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 피가 너무 쫄깃쫄깃하고 맛있었어요 ㅠㅠ 일부러 새우가 들어간 딤섬만 골라먹었는데 새우가 통통하니 식감이 너무 좋았습니당 딤섬부터 후식까지 너무 완벽했어요~,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,분위기 좋고 근처 구경할곳이 많아요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,항상 가는 곳으로 맛도있고 친절해서 좋아요!,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,2월에 추울때 갔는대 따뜻한 물 식지말라고 요렇게 주시더라고요!,(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,"안국점 항상 맛있고 친절하고 좋은데 오늘은 바빠서 그런건지 3층에서 서빙하시는 아주 젊은 남자직원분 화나신줄 알았어요. 그릇도 쾅쾅 내려놓으시고 물 달라고 말해도 안주시고,,,다른 친절한 여자직원분이 가져다주셨지만.. 마지막 디저트 설명 한마디 안해주신적은 처음이네요 허허",(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,음식이 깔끔하고 서비스도 좋았어요. 개인적으로 XO장의 소포가 맛있었어요.,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,가격은 좀 비싼편이지만 분위기도 깔끔해서 좋고 직원분들도 모두 친절하셨습니다. 소룡포는 지금까지 먹어본 모든 딤섬중에 제일 맛있었어요!! 부모님 모시고 가기 좋은 곳입니다.,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛도좋고 친절하고.ㅎㅎ 가족모임하기조아요.ㆍ,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛은 있는데 너무 비싸고 주문한게 나오지도 않고 와인도 주문한 와인이 아닌 다른 와인을 가져다면서 없어서 다른거를 가져왔다고 하고.... 다시 못 갈 가게에요,(부정 확률 : 0.57) 부정
MA010120220805435729,몽중헌 안국점,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,음식맛있고 친전하고 ㄷㅡㄱ히 디ㅁ섬 앗나요.,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,가격대가 좀 있기는 한데 맛있었어요!,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,백채교 안 먹는 사람 고소합니다.  제 인생 딤섬이에요 !!!!!!!!!,(긍정 확률 : 0.99) 긍정
MA010120220805494648,mishmash,맛있게 잘 먹었어요~ 생각한 것 보다는 공간이 넓지않은 느낌? 친구들과 좋은 시간 보내기에 적합!,(긍정 확률 : 0.99) 긍정
MA010120220805494648,mishmash,연인끼리 식사하기 좋네요,(긍정 확률 : 0.99) 긍정
MA010120220805494648,mishmash,언니가 한 번 가보고 싶다고 예약해서 같이 가봤어요! 메인은 돼지고기와 갈비를 시켜서 나눠먹었고요! 외국인들이 퓨전 한식을 먹어보기 좋은 곳 같아요! 아늑하고 한옥 분위기가 좋았답니다.,(긍정 확률 : 0.99) 긍정
MA010120220805494648,mishmash,친구들과좋은시간보냄,(긍정 확률 : 0.98) 긍정
MA010120220805494648,mishmash,"뷰가 정말 좋고, 음식들이 스토리가 있어서 재밌네요. 맛집이라기 보다 멋집입니다.",(긍정 확률 : 0.99) 긍정
MA010120220805494648,mishmash,에피타이져부터 디저트까지 빈틈없이 맛있게 먹었습니다.,(긍정 확률 : 0.99) 긍정
MA010120220805494648,mishmash,"여기 뷰가 멋져요!! 은행나무 있을때 가면 더 멋있을 거 같고, 코스별 메뉴 전부 맛있어요  메인은 닭다리 선택했는데 겉껍찔 쫄깃하고 매콤한데다가 솥밥이랑 잘 어울려요💛💛  기념일이라고 했더니 후식에 레터링서비스도 해주셨어요💖",(긍정 확률 : 0.99) 긍정
MA010120220805494648,mishmash,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805518407,아트마,낮술하기도좋고 음식이 넘 맛있있어요. 넘 복잡하지 않아서 편하게 대화 나누기 좋았어요,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,달달한 디저트와 브런치도 먹고 싶고 술한잔도 생각날 때 가면 딱 좋은 거 같아요~  주류가 다양해서 좋았고 분위기도 너무 좋아요!! 안국역에서 도보로 5분도 안걸리는 거리라 위치도 편해서 추천할 만한 곳인거 같아요~,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,안국역에서 멀지 않고 주변에 핫플이 많은데도 살짝 골목 안쪽에 위치해서 그런지 조용히 브런치 즐기기 좋아요💕 주문하면 바로 팬케이크 구워주셔서 갓 나온 따끈한 팬케이크 즐길 수 있어 좋았어요,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,"바 인듯한데 낮에는 커피숍, 브런치도 판매해요. 브런치 맛있어요~",(긍정 확률 : 0.98) 긍정
MA010120220805518407,아트마,보기에도 맛나보이지만 먹어보면 흔한 팬케이크맛이 아니라 맛있게 잘 먹어요. 과일이랑 함께 먹으니 상콤달콤 합니다,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,"아트마는 낮 동안에는 브런치와 커피를 즐길 수 있는 카페로 밤에는 주류와 안주를 즐길 수 있는 바에요. 세련된 인테리어와 조명, 잔잔한 음악은 인사동의 정취와 함께 힐링하기에 좋은 분위기에요. 친구와 연인과 함께 화목한 시간을 보내기에 좋아요. ★ 소시지 & 에그 세트 : 수제 소시지 2개, 계란 후라이 (써니 사이드 업), 야채 그리고 아트마의 유명한 팬케이크 2장과 함께 나와요. 아트마의 비법 반죽으로 구운 푹신푹신하고 달콤한 팬케이크는 아트마를 팬케이크 맛집이라 할 정도로 정말 맛있어요. 팬케이크에 뿌려 먹는 메이플 시럽도 진하고 좋아요. ★ 쿱 샐러드 : 각종 야채, 촙 소세지, 촙 베이컨, 감동란 계란, 아보카도, 방울토마토, 스위트콘, 블랙 올리브, 슈레드 치즈, 블루 치즈가 나와요",(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,낮에는 카페 저녁에는 바 에요 저녁먹고 갈 카페를 찾아다니다 우연히 가게됐는데 분위기가 너무 좋아서 홀리듯 들어갔네요 핫케이크와 함께하는 와인이라니 너무 맛있었어요🤍 신청곡을 적어낼수있는 명함도 주시네요,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,"너무x100 좋았어요 저녁엔 저동네 조용해서 오히려 좋아,, 다음번에 꼭 와인 갈기러 가겠다 다짐함",(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,분위기 좋고 음식이 넘 깔끔하고 맛있었어요~ 낮술은 못해서 아쉬웠지만… 예약하고도 갈 수 있어서 좋았습니다^^ 다음번 모임도 요기서 하고싶어요~,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,분위기도 좋고 논알콜 메뉴도 맛있어요,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,아트마 분위기도 좋고 밤에는 바로 바껴요! 그래서 너무 좋아 인스타에도 이렇게 남겼습니돠~!,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,인사동 카페&술집 갤러리카페 아트마 아기자기한 소품들 잔잔한 음악 조용한 분위기 음악 신청곡도 받으세요. 올데이브런치 소시지&에그와 함께 기네스 저녁 겸 가벼운 반주로 딱!  소시지&에그는 아트마 팬케이크도 함께 나와서 완전 든든해요!,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,분위기가 좋은 덕분에 데이트 성공했어요 근데 자리 선정이 예약했는데도 아쉬웠습니다 다음에는 오붓한 구석자리에 앉고싶어요 핫케이크 너무 맛났습니다,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,친절하시고 분위기도 좋고 - 위스키도 저렴해서 종종 갑니당 :) 다만 티슈나 물이 같이 제공될 수 있다면 혹은 가까운데 비치를 해두신다면 더 좋을 듯 해요 !,(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,안국 골목길 숨어있는 분위기 좋은 공간,(긍정 확률 : 0.98) 긍정
MA010120220805518407,아트마,"브런치로 손색없을 집,, 또 가고싶어요",(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,"저녁에 bar로 위스키종류가 많고 좋은데요, 낮에 브런치도 맛있어요! 친절하고 분위기도 좋아서 기분좋아지는 곳입니다.",(긍정 확률 : 0.99) 긍정
MA010120220805518407,아트마,국현 가는길에 들렀는데 분위기 술맛 음식 미쳤습니다 Let’s go,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,금요일 점심시간에 갔는데 20~30분 대기했어요! 가격도 넘 저렴하고 맛있었어요 반미랑 불향쌀국수는 맛있었고 비빔쌀국수는 그냥저냥 새콤한맛이에요 비빔국수는 불향쌀국수랑 다르게 면이 얇더라구요 채소랑 파인애플도 많이 들어가있고 나쁘진 않았어요! 음식은 꽤 괜찮았는데 다만..위생이랑 서비스는 야외에 앉았는데 테이블 바로 뒤에 상자 쌓여있고 먼지 쌓여있고 야외테이블은 그 달달달 끌리는 플라스틱 테이블이랑 의자였어용 테이블도 낮고 의자도 낮아서 불편했고 공간도 넘 좁았습니다 내부위생상태는 안들어가봐서 모르겠어요! 현지감성이라면 현지감성이겠네요ㅎㅎ 그리고 점심시간이라 바쁘셔서 직원분들이 몇번을 불러도 안오시더라구요 그래도 식사는 맛있게 했습니다~~ 30분 기다려서는 먹을것같은데 그이상 기다려서 먹을맛은 아닌것같아요,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,줄서있길래 기다렸다가 들어갔는데 맛집이네요. 분위기도 좋고 진한 육수가 좋았어요!,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,또 올게요,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,맛있어요.,(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,쌀국수가 불향이나서 특이하고 맛있어요:),(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,1) 사골베이스 쌀국수. 고수는 달라고 요청해야함 2) 볶음밥에 새우 많음 3) 양이 많음 4) 야외 자리에서 먹는맛이 좋음,(긍정 확률 : 0.97) 긍정
MA010120220805529268,비어셰프냐항,주말 11시40분쯤 갔는데도 안쪽에는 사람이 많아서 야외에서 식사했어요. 주문하고 음식도 빨리 나오고 아쥬 맛있게 잘 먹었습니다,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,밖에서 먹으면 더 현지 느낌이 나는 곳. 불맛가득 진한 사골같은 쌀국수는 처음인데 매력있네요.,(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,쌀국수 짱맛이예요! 양도 많고 생각나는 맛입니다,(긍정 확률 : 0.96) 긍정
MA010120220805529268,비어셰프냐항,너무 맛있어요. 줄서는 맛집~,(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,반쎄오 완전 맛있어요~~~! 전반적으로 간이 좀 센편이지만 맥주랑 같이 하면 좋습니다😆,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,좋아요 맛있아요,(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,"너무 맛있어요,,,,, 사장님도 친절하고.. 직원들도 친절하고 움식이 너무 맛있어요,, 진짜 ,,, 하나하나 불맛 최고,, 쌀국수 맛도 다른곳이랑 다른데 되게 신선해요,, 다음에 반미도 먹어보고싶어오!!!!!",(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,"어디 갈까 찾아보다 따뜻한 국물이 먹고싶어서 들어갔는데, 기대했던 쌀국수는 당연하고 반미와 볶음밥까지 다 맛있어서 둘이서 메뉴 세개 다 뿌시고 왔네요 :) 화장실에 가려면 근처 교회까지 가야한다는 점만 조금 번거로웠어요~",(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,분위기가 좋고 맛있어요!,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,오늘은 새우볶음밥과 쌀국수~~ 볶음밥도 너무 맛어요. 고소하고.,(긍정 확률 : 0.96) 긍정
MA010120220805529268,비어셰프냐항,월남쌈 너무 맛있어요 쌀국수도 맛있습니다!,(긍정 확률 : 0.93) 긍정
MA010120220805529268,비어셰프냐항,여기서 쌀국수 먹고 다른 쌀국수는 이제 성에 안 차요 인생 쌀국수입니다..  보통 먹던 쌀국수랑 다른 맛이에요 갈때마다 국물 까지 다 먹고와요 비빔쌀국수도 정말 맛있어요  앞으로 100번도 더 올거같아요 베트남은 안가봤지만 안가도될거같아요 사장님 번창하세요,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,맛있어여~ 일반적인 쌀국수랑은 조금 다른 맛이에요!,(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,거성비 좋음 맛은 그닥…,(부정 확률 : 0.95) 부정
MA010120220805529268,비어셰프냐항,새우볶음밥이 맛있어요,(긍정 확률 : 0.91) 긍정
MA010120220805529268,비어셰프냐항,모든메뉴가 맛있어요. 비빔쌀국수에 큰 기대안했는데 상큼하고 맛있네요. 그리고 엄청빨리나와서 좋아요~^^,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805529268,비어셰프냐항,반세오먹으러 갔는데 저녘메뉴라고 해서 새우볶음밥 먹었 어요~~그런데 깍두기랑 국물 주셔서 감동했어요^^ 든든하게 배채우고 미술관 가려구요 😁,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,굿굿,(긍정 확률 : 0.94) 긍정
MA010120220805529268,비어셰프냐항,새우볶음밥이 제일 일뜸이에요!!!🫠 인기가 있는 곳이라 사람이 많고 대기가 많은데 볶음밥 쌀국수는 진리에요! 다만 고추가 매우니..쌀국수때 매운거 싫으면 빼세요! 반미는 고기의잡냄가 나서 그거빼곤 빵이 맛있어요 🤭,(긍정 확률 : 0.98) 긍정
MA010120220805529268,비어셰프냐항,즇아요,(긍정 확률 : 0.95) 긍정
MA010120220805529268,비어셰프냐항,소고기볶음밥과 쌀국수. 여자친구는 쌀국수가 저는 소고기볶음밥이 더 맛났어유,(긍정 확률 : 0.92) 긍정
MA010120220805529268,비어셰프냐항,"여기 블루 리본인 이유가 있는 듯요.. 정말 특별하게 맛있어요~ 베트남 음식 좋아하면, 필수로 와봐야하는 곳에요..! 정말 최고입니당 불맛이 살아있는 쌀국수, 새콤달콤 산뜻하게 맛있는 파인애플 볶음밥.. 정말 맛있었어요~",(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,주말에 방문했는데 대기가 있었지만  홀알바분이 너무 친절하고 이쁘셔서 기분 좋게  맛있게 먹었습니다! 다음에 또 방문할께요!!,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,음식은 맛있었는데 자리는 불편하더라고요,(긍정 확률 : 0.85) 긍정
MA010120220805529268,비어셰프냐항,"국물 생각나는 날 이집 음식 생각남. 이집 국물 맛있고, 불향도 잘 입힘. 볶음밥도, 볶음면도 맛있게 먹음.",(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,최고다 👍 아직도 다낭앓이 중인데 ~~땋하니 ^.~ 호이안 어는 골목 인줄 추억의 반미 ㅋㅋ,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,다 맛있어요 타지에서 왔는데 다음에 또 오고 싶습니다 잘 먹었습니당,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,"넘넘 맛있어요 쌀국수 국물 굿.. 반쎄오도 , 한국에서 먹은 것 중에 최고네요 👍🏻",(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,맛있엉ㅗ,(긍정 확률 : 0.96) 긍정
MA010120220805529268,비어셰프냐항,넘 맛있어서 재방문했습니다:),(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,"너무 맛있었습니다 가성비 생각하지 않아도 맛이 좋았는데 가격마저도 착하다니,, 직원분들 사장님 모두 다 친절합니다 배부르고 기분 좋게 식사하고 나왔습니다 ㅎㅎ",(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,굿이여~~~~~~~,(긍정 확률 : 0.96) 긍정
MA010120220805529268,비어셰프냐항,너무 친절하시고 음식도 맛있어요,(긍정 확률 : 0.99) 긍정
MA010120220805529268,비어셰프냐항,반세오 맛있어요!,(긍정 확률 : 0.98) 긍정
MA010120220805726366,키키붕어빵,마눌님은 가성비 떨어진다고 싫어하는데 저는 괜츈했슴다,(긍정 확률 : 0.67) 긍정
MA010120220805726366,키키붕어빵,키키붕어빵,(긍정 확률 : 0.97) 긍정
MA010120220805858556,무에,자리는 솔직히 ㅠ 불편했어요 특히 혼자가면 뭔가 민망해요 둥그렇게 모여 앉는 느낌…  커피 맛있었지만 기대 안하고 시켯던 레몬티라미수가 너무 맛있습니다~~! 상큼하니 ㅎㅎ 달지않은 커피랑 먹기에 조합 굿👍🏻,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,직접 로스팅한다고 하셨는데 커피 정말 맛있네요!! 라떼도 깔끔하고 분위기도 좋고 재방문의사 200%입니다~,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,라떼 맛있어요!,(긍정 확률 : 0.98) 긍정
MA010120220805858556,무에,요 골목으론 자주다녔는데 카페가 생긴지 몰랐어요!! 야외테라스공간도 있고 커피맛도 좋으니 다들 와서 드셔보세요!!,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,검색하다가 알게된 카페 심플한 커피맛,(긍정 확률 : 0.98) 긍정
MA010120220805858556,무에,공간도 좋고 커피도 맛있었습니다-!,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,역시 커피 맛었어요,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,커피가맛잇어요,(긍정 확률 : 0.98) 긍정
MA010120220805858556,무에,커피는 너무 깔끔하게 잘 넘어가고 맛있습니다! 레몬티라미수는 호불호가 있을 것 같아요 그래도 부드럽고 맛있습니다!,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,예쁘고 조용하고 좋아요,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,생각보다,(부정 확률 : 0.81) 부정
MA010120220805858556,무에,아메리카노 보다는 라떼가 더 맛있었어요!!,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805858556,무에,커피 맛있고 음악이 좋아요^^,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,맛있는 커피 최고…☕️🫧 이 집 커피 증맬 잘 하시네요~~..  이런 곳이 카페죠! 🥹 디저트도 왕 맛있었습니다 💥 사장님도 엄청 친절하셨고 또 생각 날 것 같아요…💖,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,혼자 handle 하기 버거워 보였지만 차분하게 컨트롤 하시는 거 보규 오히러 맘이 더 편함 ㅋ 테이블이 더 많았음 좋겠댜 생각할 정도로 직접 만든더같은 틸라미수 좋았구 페루필터도 맛남,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,잘먹었어요,(긍정 확률 : 0.98) 긍정
MA010120220805858556,무에,라떼 맛집 ㅋ,(긍정 확률 : 0.98) 긍정
MA010120220805858556,무에,테이크아웃하면 할인 받을 수 있어서 참 좋아요! 커피도 맛있어요!,(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,"전부터 가보고 싶었던 곳! 방문했습니다. 로스팅이랑 베이커리 소규모로 하시는 곳이고, 필터 커피 두가지 아이스 콜롬비아 핫 페루로 시켰습니당  커피는 워낙 깔끔해서 좋았고 제가 시킨 페루는 오묘한 맛이 나서 좋았습니다 확실하게 향이 제대로 나서 커피 잘 즐길수 있었어요 . 양은 상대적으로 작은 편입니다.  케이크는 마틸다 케이크로 엄청 진하고 달아요 !   커피를 중점적으로 하고 인테리어가 미니멀 스러워요 깔끔합니다 규모는 작은 편이여서 대화하실때 카페 분위기 안을 보고 즐기시는게 나은 편입니다. 조용해지는 분위기가 형성되면 정말 조용해지는 이런 느낌이더라구요! ㅋㅋㅋ 책읽거나 소곤소곤 추천드려요!",(긍정 확률 : 0.99) 긍정
MA010120220805858556,무에,"혼자 쉬면서 차분하게 생각하기 좋은 곳이에요. 계동길 중간 쯤 올라가면 만날 수 있는 무에! 지나갈 때마다 가보고 싶었는데 자리가 많진 않아서 못갔었거든요ㅠ 주말이었지만 날씨가 흐려서 그런지 손님이 딱 한 분만 계셨어요.  룽고 한 잔 주문하고 자리에 앉았습니다. 중간에 난로가 있었는데 온기도 느껴지고 묘하게 난로 특유의 향도 나는 것 같아서 좋았어요ㅋ 룽고는 향이 깊었고, 산미와 쌉싸름함은 아주 강하지 않아서 딱 좋았어요.   제 뒤로도 손님들이 더 들어오셨는데, 모두 혼자라 카페 안이 고요고요해서 좋았어요. 다들 커피 한 모금, 생각, 한 모금, 생각하시는 것 같았어요. 동질감이 느껴..  짧은 시간 머물렀지만 맛있는 커피와 함께 마음 편안하게 쉴 수 있어서 좋았습니다. 또 오겠습니다!!",(긍정 확률 : 0.99) 긍정
MA010120220805964062,더그릭,언제나 맛있어요.ᐟ 간단하게 먹기 딱 좋아요,(긍정 확률 : 0.99) 긍정
MA010120220805964062,더그릭,경복궁의 뷰와 맛있고 특별한 그리스음식! 그리고 예쁜 인테리어까지..지인들과 다들 너무너무 만족해했고 행복했습니다. 특별한 날 사랑하는 가족 혹은 연인과 데이트로 오면 너무 좋을것같아요,(긍정 확률 : 0.99) 긍정
MA010120220805964062,더그릭,행복한 추억으로 남을 것 같아요 정말 그리스 음식을 좋아하는데 여기가 찐이에요…그리스 음식에 그리스 와인을 먹을 수 있는 유일한 곳으로 알고 있어요. 이제라도 알게되서 너무 다행이에요ㅜㅜ쭉 있어주세요! 그리스 음식이랑 와인 호불호 없이 정말 맛있습니다,(긍정 확률 : 0.99) 긍정
MA010120220806024744,라 끌레,"음악, 분위기 좋고 입장료도 합리적이라 좋아요! 또 가고 싶네요:)",(긍정 확률 : 0.99) 긍정
MA010120220806024744,라 끌레,평일날은 사람이 너무 없어 분위기 안 살았어요ㅠ  주말에 가세요,(긍정 확률 : 0.94) 긍정
MA010120220806024744,라 끌레,일어서서 사진 찍는 아주머니가 시야를 가려서 공연 보는 데 방해되더군요.,(부정 확률 : 0.96) 부정
