상가업소번호,가게명,리뷰,evaluation
MA010120220804841693,신촌관,일하시는분들도 친절하고 안주맛잇어요~ 반건조오징어는 말필요없이 2개나시켜먹엇네요..ㅎ,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,가게분위기도 좋고 음식도 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,가게 존맛탱 진짜 밥집이이여,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,가게 분위기가 엄청 좋아용^^ 그리고 음식도 싸고 퀄리티고 좋고 가게 직원분들이 엄청 친절하세욥!!!!!,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,안주가 별루….,(부정 확률 : 0.95) 부정
MA010120220804841693,신촌관,ㅇ,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,맛있어욤,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,굳,(긍정 확률 : 0.95) 긍정
MA010120220810411425,찰리주막 신촌점,너무 친전하시구 기본안주로 나오는 과자? 같은거도 너무 맛잇어요 버터갈릭새우는 넘사벽이였따!!!!,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,"복숭아 막걸리 달달하고 맛있어요~술 못하는 사람은 이거 먹으면 딱일 것 같아요! 영국 감자전도 굿굿! 다만, 너무 시끄러워서 대화하기는 어려웠어요. 직원분들 너무 친절하세요!!! 화장실은 ⭐️로,,,,",(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,딸기막걸리 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,치즈불닭 감자전 맛있긴 한데 너무 시끄러워서 대화 불가예여ㅠ,(긍정 확률 : 0.92) 긍정
MA010120220810411425,찰리주막 신촌점,부침개 대존맛 실화입니까 막걸리랑먹었는데 너무맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,전이 눅눅해요,(부정 확률 : 0.95) 부정
MA010120220810411425,찰리주막 신촌점,김치치즈고구마전 맛없음,(부정 확률 : 0.94) 부정
MA010120220810411425,찰리주막 신촌점,막걸리 종류도 다양해서 좋았고 음식도 기본적으로 괜찮았어요,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,딸기막걸리 아주 맛있어서 술술들갑니다,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,과일막걸리 먹고싶어서 간건데 생각했던 그 맛 이였어요. 안주는 술집이라서 가격대비 양이 적은 편인거 같아요,(긍정 확률 : 0.97) 긍정
MA010120220810815413,코지라운지,친구들이랑 가기 좋아요 가성비 굿굿,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,"신촌의 학교들 (이대, 연대, 서강대) 특별 맞춤 칵테일도 있어서 마셔보는 재미가 쏠쏠해요ㅋㅋㅋ",(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,맛있고 술이 다양해요!!,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,굿,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,분위기 최고에요 ღ’ᴗ’ღ  위스키도 맛있고 칵테일 세상 예쁜거 실화냐구오 바테이블에서 앉아서 구경하면서 마시는게  힐링되고 마음에 쏙 들어요!,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,좋아용,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,분위기도 정말 좋고 또 오고싶었어요!,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,분위기 좋아여,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,굿,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,"알곱창 불맛나고 정말 맛있음. 추천 합니다. 혹시나 해서 불닭볶음면 시켰는데, 진짜 라면이였음ㅠ 이건 그냥 시키지 말고, 볶음밥 드세요",(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,:),(긍정 확률 : 0.97) 긍정
MA010120220805834391,야곱의축복 신촌점,존맛탱,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,야채곱창은 별로 안 좋아해서 숯불알곱창으로 시켰는데 너무 맛있게 먹었어요!!  누린내도 안나고 불향에 살짝 매콤하면서 쫄깃해서 곱창 안좋아하시는 분들도 잘 드실 거 같아요!  옆에 야채들 조금 익으면 사장님께서 먹기좋은 크기로 잘라주세용😊 구운 야채랑 같이 먹으니 물리는 거 없이 곱창 하나 안 남기고 다 먹고왔네요ㅎㅎ  들어오자마자 배고파서 주먹밥시켜먹느라 볶음밥은 못먹었어요ㅠㅠ 볶음밥까지 먹으러 다시 가겠습니다😋,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,막창이 넘 먹고싶어 방문한 야곱의 축복은 맛있는 비주얼도 한몫했지만 양도 많아서 정말 배부르게 먹었어요!   사이드 메뉴로 뚝배기계란찜이랑 날치알주먹밥을 주문했는데 숯불에 구운 소금막창구이와 잘 어울렸고 직원들도 친절해서 만족스러운 저녁식사였어요^^,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,좋아요!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있어요!!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있고 친절해요,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,내장류(?)를 좋아하는 편이 아닌데  야곱의 축복 순대곱창은 맛있게 먹었어요! 그 뒤로 친구들이 우리집 놀러올때마다 야식으로 항상 대접하는 야곱의 축복ㅋㅋ 신촌 고인물이 추천합니다 🗣,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,특별한 맛은 아닌데 손이 멈추질 않아요 ㅋㅋㅋㅋ,(부정 확률 : 0.75) 부정
MA010120220805834391,야곱의축복 신촌점,처음 가봤는데 맛있고 양도 많아요!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,굳,(긍정 확률 : 0.95) 긍정
MA010120220805834391,야곱의축복 신촌점,친절해요,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,모듬 막창 먹었는데 부드럽고 맛있게 먹었습니다! 재방문 의사 있습니다😁,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220806790112,푸른바다찜탕,굿,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,"힙한 칵테일바 바프로!! 사장님도 친절하시고, 무엇보다 칵테일이 다다다다 맛있어요🤭🤭 안주인 참치 카나페도 맛있고 그 중 화룡정점은 빠라라샷!!!! 불쇼도 보여주시고 진짜 너무 맛있어요ㅠㅜㅜ 재방문의사 200% 입니다! 칵테일바 바프로 추천해요!!!!",(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,"처음간 바프로! 사장님? =바텐더 님이 친절하게 다가오시고 다른 손님들과 다트내기도 하며 재밌게 즐기다갑니다 ㅎㅎ 내기를 통해 맛있는 술도 먹고 돈도내고,,ㅋㅋㅋ 너무 재밌게 놀다가요! 술 못드시는 분들 ! 맛있는 칵테일 무제한으로 즐기기에 추천입니다^^ 다음에 또 갈게요! 춘천 장거리 ㅎㅎ",(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,가볍게 놀고 즐기기 좋아요! 사장님이랑 짱친 되는건 시간문제 술 추천도 다양하게 잘 해주셔요🥰,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,사장님도 친절하시고 분위기도 좋습니다,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,오랜만에 와도 사장님 넘 친절하시구 칵테일 진짜 랜덤으로 시켜도 다 맛있어용 ･ᴗ･̥̥̥ 🤍 칭구들 생일축하 같이 해주시는 사장님 🤗 오늘도 잼께 놀다 갑니당~,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,5년전에 오고 오늘 또 왔는데 사장님도 가게도 다 그대로라 추억 새록새록 ㅎㅎ  담에 또 올려구요!  신촌에서 감성칵테일바 오고싶은 분들 여기 꼭 오세요🥹❤️‍🔥,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,"몇년 전에 방문했다 사장님 친절하신 게 생각나서 간만에 들렀는데, 여전히 너무 친절하시고 안주도 맛있어요!!!! 덕분에 즐거운 시간 보내다 갑니다 ❤️♥️💙🧡💚",(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,여자친구랑 1주년에 갔는데 좋아요!  분위기도 좋고 칵테일 무제한 메뉴가 가성비 갑이네요 :),(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,여기 자주 가는데요 갈만해요 친구끼리 가기 딱인거 같아요 칵테일도 좋고 분위기도 좋고 신납니다ㅋㅋ,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,사장님 완전 친절하시고 술도 적당히 세면서 넘 맛있어요ㅠㅠ 단골 예약... 맨날 갈게요..❤️❤️,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,너무 맛있게 잘 먹었습니다 칵테일이 제가 먹은 곳중에 최고에요^^ 몇번 더와도 즐거울거같아요!,(긍정 확률 : 0.98) 긍정
MA010120220812318844,비어어클락,"예전에 남자친구가 자주 가던 곳이라고 해서 갔음  외국인들 많아서 좋았다는데 코로나라그런지 외국인은 커녕 한국인 손님조차없어서 안타까움 ㅜㅜ 알바생 외국인인데 한국말 잘 못함 피자는 너무 맛있는데 다들 이 맛을 모른다니 안타까울뿐.. 하와이안피자 맛있다 가성비도 굳! 피자 도우 매우 얇고, 토핑도 많음 ㅎㅎ 술 종류 매우매우 많고 분위기도 좋음~",(긍정 확률 : 0.89) 긍정
MA010120220812974480,호탕마라탕,여기가 중국?,(긍정 확률 : 0.92) 긍정
MA010120220812974480,호탕마라탕,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,시킨 모든 메뉴가 다 맛잇어요!!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,싸고 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,깔끔하면 맛있습니다 추천~,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,친절하고 맛있어요!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,맛있고 맛있고 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,맛있어요~~~~~~~~~,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,사장님이 친절하시구 더운날이였는데 매장도 시원해서 너무 좋았어요! 마라탕도 맛있었어요👍👍,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,꿔바로우 소짜인데도 양도 넘 많고 맛있어요~~!!! 단골이예요~~!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,루로우판 맛있어요! 마라 보통맛은 맵찔이기준 얼얼해서 더 약한거먹어야겠어요 다른메뉴도 먹어볼래요 리뷰하니 음료도 주십니다 굿,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,맛있어요오,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,신촌원탑,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,맛있어서 맨날 와요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,맛있어요☺️,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,"비건 마라탕이 진짜 최고로 맛있어서 완저뉴반했고요, 다른 모든 메뉴들도 먹어보고 싶어요. 꼭 다시 방문 할거예욥",(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,비건마라탕 처음먹어보는데 맑고 깔끔하고 칼칼하니 좋았습니다,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,마라샹궈와 우육탕 꿔바로우 먹었어요~ 샹궈 채소 신선하고 맛있었어요 친절하시고 좋아요^^ 맛있게 잘 먹었어요~♡,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,쏸라펀먹고싶어여,(긍정 확률 : 0.97) 긍정
MA010120220812974480,호탕마라탕,일이주에 한 번씩은 꼭 오는 것 같아요!! 번창하세요~,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,맛있어요 !,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,마라탕 마라샹궈 꿔바로우 다먹어봤는데 다 맛있구 마라샹궈랑 꿔바로우 맛집이에여 마장소스 꼭추가해서 드세요 냠냠,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,매장이 깨끗하고 맛있어요!,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,삼겹살은 퍽퍽하고 나머지는 걍 쏘쏘 진짜 왜 줄서서 먹는지 이해불가 직원 한분이 손님한테 짜증섞여서 대하고 진짜 별로에요,(부정 확률 : 0.94) 부정
MA010120220800846433,한림돈가 본점,도리창볶음인가 생소한 이름인데 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,볶음밥 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,유명세치곤 그냥 그렇던데요,(부정 확률 : 0.93) 부정
MA010120220800846433,한림돈가 본점,삼겹살 맛있네요,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,굿,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,굿,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,굿,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,매장은 좁지만 고기랑 볶음밥이 너무 맛있습니다! 오랜만에 들렀는데 여전히 맛있었어요🫢,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,어우 여기 진짜 상 받아야 하는 집.. 일단 초벌되어 나오는 점에 박수드립니다.... 파채랑 고사리 같이 구워주시는 거에 따봉 드리고요.. 볶음밥에 쌍따봉 드립니다 ㅠㅠ,(긍정 확률 : 0.97) 긍정
MA010120220800846433,한림돈가 본점,잘먹었어요~,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,나물이랑 고기랑 먹는게 맛있네용,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,괜츈,(긍정 확률 : 0.60) 긍정
MA010120220800846433,한림돈가 본점,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,고기가 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,맛있게 잘 먹었습니다😀,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,직원분들 진짜 친절하셔요 ㅠㅠ,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,제주산 존맛탱,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,목살은 그냥 평범한 맛이고 사이드 반찬들이 굉장히 입맛을 돋구었어요 삼겹살은 맛있었습니다. 오일 파스타는 간이 안 된 느낌이라 고기에 먹는 갓김치랑 먹었더니 맛있었어요,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,고기 맛나여!!,(긍정 확률 : 0.98) 긍정
MA010120220800846433,한림돈가 본점,"고기도 맛있고, 볶음밥도 맛있었어요!",(긍정 확률 : 0.98) 긍정
MA010120220813682123,꼼보포차 신촌2호점,서비스도 챙겨주시고 친절하셔서 너무 좋았어요~ 10명이 갔는데 자리도 괜찮고 아주 만족스러웠습니다^^,(긍정 확률 : 0.98) 긍정
MA010120220813682123,꼼보포차 신촌2호점,안주도 맛있구 좋아요,(긍정 확률 : 0.98) 긍정
MA010120220813682123,꼼보포차 신촌2호점,황도 고퀄이에욤! 안경쓰신 사장님?도 친절하셨어욤,(긍정 확률 : 0.97) 긍정
MA010120220813682123,꼼보포차 신촌2호점,"마요네즈로 글씨 남겨주신거 넘 귀여워요! 오돌뼈밥은 평범했고, 감튀 가루 많이 뿌려주셔서 좋았어요!! 맥주안주로 딱이에요~~~파인샤베트 상콤달달하니 맛있어서 두개나 먹었어요..ㅎㅎㅎ",(긍정 확률 : 0.98) 긍정
MA010120220813682123,꼼보포차 신촌2호점,긋,(긍정 확률 : 0.96) 긍정
MA010120220813682123,꼼보포차 신촌2호점,맛있어요!!!,(긍정 확률 : 0.98) 긍정
MA010120220813682123,꼼보포차 신촌2호점,가성비 굿~,(긍정 확률 : 0.98) 긍정
MA010120220813682123,꼼보포차 신촌2호점,가게의 흘려나오는 BGM 감상에 젖음,(긍정 확률 : 0.91) 긍정
MA010120220813682123,꼼보포차 신촌2호점,여기정말 사장님 너무 친절하고 깨끗하고 좋아요 !! 다음에 방문 또하고싶어요 :),(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,굿,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,굿,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,💗💓,(긍정 확률 : 0.97) 긍정
MA010120220800574359,요이스시,굿,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,저번에 배달로 먹어봤는데 맛있어서 포장하러 다시 왔어요! 친절하시고 스시도 신선해요!,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,선택초밥 너무좋아,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,굿,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,퀄리티 양 모두 만족스러워요 초밥들이 두툼하고 크고 신선하고 너무 맛있어요 3만원에 둘이서 너무 잘 먹었어요 다음에 또 이용할게요~,(긍정 확률 : 0.98) 긍정
MA010120220800574359,요이스시,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220813099356,스카이문 루프탑,"칵테일3잔, 안주 1개 받기까기 50분 걸렸어요.  저렴한 가격이 아닌데도 칵테일이 맛없어서 다른 술집으로 갔습니다. 기다리다가 그냥 나갈까봐 선결제하라고 하나봐요 ㅎㅎ",(긍정 확률 : 0.97) 긍정
MA010120220813099356,스카이문 루프탑,치즈스틱 넘 맛있고 루프탑 최고에요! 사람이 북적거리지 않아서 좋아요 ❤️🥰,(긍정 확률 : 0.98) 긍정
MA010120220814185142,기중상점,안주 맛있어요 ㅠㅠ 또 갈게요!!,(긍정 확률 : 0.98) 긍정
MA010120220814185142,기중상점,굿,(긍정 확률 : 0.98) 긍정
MA010120220814185142,기중상점,사장님 친절해요 케잌 부니까 축하주(?)도 주셨어요,(긍정 확률 : 0.98) 긍정
MA010120220814185142,기중상점,서비스 안주로 라면이 있고 후식 슬러쉬까지!! 안주도 맛있어요~,(긍정 확률 : 0.98) 긍정
MA010120220804044998,김덕후의곱창조 신촌점,직원이 너무 친절해요,(부정 확률 : 0.61) 부정
MA010120220804044998,김덕후의곱창조 신촌점,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220804044998,김덕후의곱창조 신촌점,직원분 친절하세용,(긍정 확률 : 0.98) 긍정
MA010120220804044998,김덕후의곱창조 신촌점,맛있어요~^^,(긍정 확률 : 0.98) 긍정
MA010120220804044998,김덕후의곱창조 신촌점,무한리필이라서 너무 잘 먹고왔어요♥,(긍정 확률 : 0.98) 긍정
MA010120220804044998,김덕후의곱창조 신촌점,맛있어요.,(긍정 확률 : 0.98) 긍정
MA010120220804044998,김덕후의곱창조 신촌점,예약하려고 통화할땐 엄청 불친절 막상 가보니 생각보다 친절 예약은 불가,(부정 확률 : 0.95) 부정
MA010120220804044998,김덕후의곱창조 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220803220643,카츠미,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220803220643,카츠미,홀에서 일 하시는 아주머니.... 저희 급한일 있어서 빨리 먹고 나가려고 불 좀 더 해달라고 하니까 고집대로 절대 안된고 하셔서 다음 일정에 무리가 갔어요ㅋㅋㅋㅋ 요청사항 좀 잘들어주세요ㅎㅎ,(긍정 확률 : 0.96) 긍정
MA010120220803220643,카츠미,제가 생각하던 규카츠 색이 아니여서 알바분께 원래 이런색이 맞냐고 물어봤는데 본인도 모른다고만 하시더라구요. 적어도 주방에 물어봐주실 줄 알았는데..계산할때도 주방에 한번 물어봤냐니까 그냥 물어본다고만 하시고 저한테 어떠한 피드백도 없었어요. 사진은 전부 익기 전 상태구요 보면 붉은 빛은 없고 대부분 지방밖에 없는 하얀 색 기름입니다. 이게 소가 맞나? 싶었어요. 그래도 제 건 좀 나은데 제 지인 건 더 심했어요. 재방문의사 절대 없습니다.,(부정 확률 : 0.83) 부정
MA010120220803220643,카츠미,사장님 너무너무 친절하세요 음식이 맛도 있고 양도 많고 기분 좋게 식사 하고 나왔습니다! 번창하세요 사장님~~,(긍정 확률 : 0.98) 긍정
MA010120220803220643,카츠미,음식 너무 맛있어요 규카츠 먹고 싶을 때마다 가는 곳이에요!! 알바생 분도 너무 친절하시고 추천해요 !!,(긍정 확률 : 0.98) 긍정
MA010120220803220643,카츠미,진심 최악.. 규카츠에대한 이해가 일도 없는 식당  기름지고 맛없고 소스맛은 쎄고 위생도 안좋습니다. 기분잡치고싶으면 가세요,(부정 확률 : 0.95) 부정
MA010120220803220643,카츠미,하.....기대하고 들어갔는데... 실망대실망...일행도 저도 추천안할거같아요...죄송합니다만 ..진심이에요 마늘후레이크 빼는게 훨 나으실듯....고기맛이 안나는..원래 그렇게먹는건지...육회먹으러갈걸..,(부정 확률 : 0.95) 부정
MA010120220809686541,두꺼비로멘스 신촌점,몇번방문했는데 리뷰쓰긴 처음이네요 사장님께서 기억도 해주시고 친절하신거같아요 기본적으로 모든음식이 맛있어요!! 매장인테리어는 오픈하신지얼마안된것같아 깨끗하구요 특히여자화장실 뿅감!!,(긍정 확률 : 0.98) 긍정
