상가업소번호,가게명,리뷰,evaluation
MA010120220800575509,불타는곱창 신촌점,신촌 다른 곱창집 가봐도 결국엔 불타는곱창 체고맛있음 이모 넘 친절해유 ㅠㅠ♥️ 오래오래오래 장사해주세요옹♥️,(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,사장님이 엄청 친절하게 잘해주시는데다 전체적으로 반찬도 깔끔하게 잘나오고 대패랑 삼겹 고기도 다 맛있어서 다음에 친구들이랑 같이 또 오려고요^^,(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,우삼겹대패랑 냉동삼겹 두툼하고 맛있어요^_^ 고기질이 좋아서 그런지 친구들이 다들 맛있다며 이런 맛집 어떻게 알고 찾았냐고 하니 기분 좋네요 ㅋㅋㅋ,(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,"날씨가 좋아서 신촌에 놀러갔다가 맛있어보여서 들어갔었는데 최고였어요, 매장도 깨끗하고 고기도 엄청 맛있어요!!! 사장님도 친절하시고 기분좋게먹고왔어욯ㅎㅎ",(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,대패삼겹살인대 고기질이좋아요~~ 고깃집인대 가게도깔끔해서 직원들이랑 왔는대 다들맛있어서좋아해요 맛이좋아서 다음회식도여기로하기로결정!,(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,친구가 추천해줘서 왔는데 여기 고기맛집이에요☺️☺️ 고기가 맛있고 반찬도 깔끔하게 잘나와서 친구가 왜 여기 고기맛집이라고 추천한지 알겠어요☺️👍🏻,(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,우삼겹대패랑 떡볶이 먹었는데 고기는 두툼한게 맛있는데다 떡볶이 양념도 매콤하고 양도 푸짐하고 맛있게 잘나와요~~ 맛집에서 맛있게 잘먹고갑니다~~,(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,매장이 깔끔하고 삼겹대패 진짜 많이 나오는데다 맛있어요! 양도 푸짐하게 잘나오네요! 맛있어서 친구들이랑 모임할때 여기로 또 와야겠어요!,(긍정 확률 : 0.98) 긍정
MA010120220809869234,사백집 서울대패 신촌점,가격 저렴하고 좋아요!!!,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,완전별로~ 직원분들도 불친절하시고 마지막에 남자직원분빼고~ 자기들끼리 노니라 다른테이블 주문해도 모르고 진짜 한신포차 닭발좋아하는데 겁나 맛없었어요 다신 안가려구요~,(부정 확률 : 0.87) 부정
MA010120220802418610,한신포차 신촌점,진짜 한신닭발최고🥹🥹,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,너무너무 맛있는 닭발이랑 계란찜이랑 주먹밥! 최고에용❤️,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,맛있어요~~~~안두가,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,언제나 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,화장실이 쾌적하지 않아요 민증필수 친절하심 대체적으로 엄청 시끄러움 콘치즈는 맛잇음 파인애플은 좀 셔요,(긍정 확률 : 0.93) 긍정
MA010120220804841693,신촌관,굳,(긍정 확률 : 0.95) 긍정
MA010120220804841693,신촌관,굿,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,"막걸리가 다양했고, 맛있었습니다. 안주도 아주 맛있게 먹었구요!! 막걸리 좋아하는 분들은 한 번씩 가보시면 좋을거라 생각들었습니다.  개인적인 별점 [3/5]",(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,슬러시막걸리가 너무 맛있는 찰리주막!! 안주도 다양하게 다 맛있는데 특히 물뱅이가 대박이에요 ㅋㅋㅋㅋ 딱 묵사발 맛인데 골뱅이랑 메밀면이 들어가있는 느낌,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,딸기슬러시 막걸리 맛잇어요!! 막걸리나 술잘못하는분들도 가볍게 마실수잇을듯!!! 분위기도 좋아요!,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,신촌에서 슬러시 막걸리와 간단한 안주가 먹고싶다면???? 찰리주막 가세여!!! 치즈불닭감자전 쫀맛 ㅠㅠ 샤인머스켓 막걸리도 짱 상콤하고 맛나요!! 음식도 빨리나오구 ㅎㅎ 기본으로 주는 면튀김? 진짜대박 맛있습니다 ㅋㅋ,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,맛있어유,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,신촌물가치고 안주 가격대가 좀 있는데 거의 다 맛있어요~ 짬뽕 불맛도 나고 맛있어요 양많고,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,샤인머스켓막걸리 진짜 맛있어요!! 불고기파전도 정말 맛있어요 맛나게 잘 먹엇어용,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,"슬러시막걸리 진짜진짜지인짜 맛있어요!!  꿀바나나막걸리, 이거 근손실 보충용 알코올로 상용화됐으면 ㅋㅋㅋㅋ",(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,사각파전 먹었는데 해물파전보다 더 맛있었네용 기본 안주도 맛있구요 딸기라떼슬러쉬막걸리 진짜 딸기로 만들어주셔서 더 맛있었어요!!,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,전이 다 너무 맛있고 딸기라떼 막걸리 진짜 넘 맛있었어요 💓,(긍정 확률 : 0.98) 긍정
MA010120220810411425,찰리주막 신촌점,술이 다양하고 시원하기 먹고 싶을때 딱이에요 ㅎㅎ,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,"아쥬 추천해용! 세트A로 고르곤졸라 피자와 베일리스 밀크, 그래스호퍼 주문했어요. 피자는 도우가 부드럽고 쫄깃해서 너무 맛있었어요. 베일리스 밀크는 초코우유 맛이 나고 도수가 좀 낮은것같았어요. 그래스호퍼는 민초 맛에, 베일리스 밀크보단 도수가 높은 맛이었어요! 가게가 조그매서 아늑하고, 직원분들도 너무 친절하셔서 기분 좋은 시간 보내고 왔습니당◡̎",(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,칵테일이 일단 가성비가 좋고 맛있어서 좋아요~ 칵테일 항상 옥보단만 시켜먹는데 여기는 시원한 얼음조각 동동떠있어서 더 시원하게 달달하니 맛있네요. 여기 피자 은근 양도 크고 많고 고르곤졸라 피자 치즈가 찐입니다. 소시지도 맛있고 칵테일이랑 같이 나오는 기본 안주도 잘나오고 자리도 아늑하니 좋아서 신촌 데이트장소로도 추천입니다. 가성비가 좋아서 그런지 학생들도 많이와서 웨이팅이 생길 수 있다는 점! 신촌 칵테일 맛집입니다~,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,술도 다양하고 안주도 맛있었어요~~,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,"분위기 너무 좋은 곳, 가격대는 대학가다운 가격대에요. 보통 혼술하러 바에가면 2잔만 마셔도 부담스러울 때가 있는데 세잔을 마시고 안주까지 시켜도 부담스럽지 않을 정도로 가격대가 저렴합니다. 싱글몰트 입문하고 싶은 분들에게 추천할 만큼 가격대를 저렴하게 맛볼 수 있어요. 칵테일 종류도 정말 다양합니다! 여럿이서 테이블에 즐길 수도 있고 혼자서 둘이서 바에서 가볍게 마시기에도 좋아요!",(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,다양한 칵테일이 종류별로 있어서 너무 좋았고 바텐더 분이 완전 베테랑이신것 같아서 더 좋았어요!!  너무 맛있고 분위기 미쳤고 데이트로도 모임으로도 넘 좋을거 같아요!! 나쵸도 엄청 푸짐하고 소스도 많이 주셔서 끊임 없이 손이가는 최고 !!!!!,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,분위기 좋아요,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,분위기도 짱짱 칵테일도 너무 이쁘게 나오고 칵테일도 너무 맛있어요! 가격도 괜찮고요 😘 데이트하기 좋은 곳입니당 ㅎ,(긍정 확률 : 0.98) 긍정
MA010120220810815413,코지라운지,샤르트뢰즈에 에펠탑까지 꽃혀있을 줄은 몰랐습니다. 친구들이랑은 치과맛난다고 장난쳤는데 되게 신선한 경험이였어요,(긍정 확률 : 0.97) 긍정
MA010120220810815413,코지라운지,칵테일 종류도 많고 맛있어요~  분위기도 좋고 친구들과 가볍게 한잔할 수 있어요 퍼지네이블 체리샤워 키위샹큼 안주는 치즈엔나초 탁월한 선택이였어요 술을 즐기지 못하는저는 무알콜도 있어서   나름 좋았어요 다음에 또 방문예정,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,직원분들도 친절하시고 곱창도 맛있습니다♡,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,양도많고 3단계했는데 매운거 좋아하시는분은 딱 좋아할 맛이에요! 가게도 깨끗하고 너무 좋은거같아요!!😁,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,재방문인데 영수증 리뷰는 처음하네요! 알곱창 진짜 맛남유ㅜㅜ 볶음밥도 진리.... 날치알 개많이 넣어주니까 꼭 드세욤...,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,너무 맛있어요 여기 소금막창 계속 생각나서 종종 옵니다,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있어요 다음에 또 올게여,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,야곱의 축복 너무 맛있어요!다음에 또 올게요^^,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,늦게 와서 가볍게 식사하기 좋음,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,너무너무 맛있어요!!! 야곱은 야곱의축복에서 먹으려고요 신촌 맛집입니당😆👍🏻👍🏻,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,야채곱창이 정말 맛있습니다 가격도 저렴하고 좋은 위치와 분위기.. 강추합니다-!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,배민으로 자주 시켜먹다가 맛있어서 매장가서 먹었는데 맛있어요 신촌 근처에 있으면 자주 올 것 같아요 !,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,다 맛있었어요!!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,깨끗하고 친절하식고 곱창 냄새도 안나고 넘 맛납니다!! 처음 왔는데 완전 기대 이상으로 좋습니다^^,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,사장님도 친절하시고 맛도 너무 좋아요 처음 방문했는데 정말 맛있어서 재방문의사 100프로입니다!!사장님 번창하세요!!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,존맛탱,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,올 해 먹은 막창 중에 최고였어요...! 굳이 왕십리 안가도 찐맛탱 느낄 수 있어요!!!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,음식이 맛있고 교통편이 좋아요.,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,양도 많고 너무 맛있어요~~^^ 잘 먹었습니다!!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,야채곱창 치즈추가 최고!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,신촌점 야곱 넘 맛있어용~!~!~!~!~!~!~! 다음에 또 올게용,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있어용,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,저번에도 왔는데 맛있어서 또 왔어요!! 무엇보다 친절합니다 ㅎㅎㅎㅎ!! 다음에 또 올게용!!!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,"양도많고,직원분들친절해요! 야채곱창 맛있어용 곱창 약간 쫄이듯이 볶아서먹으면 소스잘스며들어서더맛있어욥:)!!!!!",(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,너무 맛있고 양도 많고 좋아요. 치즈사리 토치로 구워주시는것도 좋아요. 계란찜도 존맛이에용.,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,술이 술술들어가요 ㅎㅎ,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,신촌 야채곱창이 땡길땐 야곱의 축복 신촌점으로 양도 푸짐하고 맛도 너무 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,소금막창시켰는데 불향도 확 나고 너무 맛있음,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,존맛탱ㅇ!!!! 야곱 먹고싶었ㄴ는데 어디서 먹을지 고민했어여 그래서 그냥 네이버에 신촌 야채곱창맛집 치고 제일 먼저나오길래 여기로 왔는데 맛있어용ㅌ 양도많고 친절하곡 여기로 오세용,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,친절하고 청결하고 맛있어요! 재방문의사 있습니당💕👍,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,직원분들도친절하시고 맛잇어요!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,친절하고 맛있어요!!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,친절하게 맞아주셨어요. 숯불향이 좋습니다. 맛있게 먹었어요~ 감사합니다,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,밑반찬도 맛있고 곱창도 너무 맛있어요!!! 숯불알곱창 추천!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,첫 끼였는게 너무 맛있게 잘 먹었어요! 담에도 방문할 의향 있습니다,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있고 매장도 넓어요!! 친구랑 같이 와서 먹기 좋아용 🤤🤤🤤,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,처음 먹었는데 너무 맛있고 분위기도 좋았어요 술 먹기 딱 좋은 곳!🫢,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있어요!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,양도 많고 특히 고구마무스가 신선하네요. 담에 또 방문하고 싶습니다!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛잇어요 또 올게용,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,맛있어요!,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,가성비 좋으나 너무 시끄러움. 음악 소리 조금 줄여도 괜찮을 듯 배달 많고 주문 많아서 직원분? 사장님? 이 정신 없어서 주문 듣는둥 마는둥하고 가심.  막창구이도 맛있움 날치알쌈 사이드 좋고 계란찜 맛있어서 2개나 시킴,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,단짠이랄까? 맛있게 잘 먹었습니다.,(긍정 확률 : 0.98) 긍정
MA010120220805834391,야곱의축복 신촌점,곱창도 볶음밥도 완벽한 맛에 친절하셔서 넘 좋았습니다😆🥰 리뷰 쓰는 지금도 생각나네요..!!,(긍정 확률 : 0.98) 긍정
MA010120220806790112,푸른바다찜탕,순살이라 그런지 아구양이 작음,(긍정 확률 : 0.54) 긍정
MA010120220800595661,바프로,분위기 자체가 아늑합니다 따로 형성된 테이블 제외 다찌석 이 메인이고 오픈 키친 형식으로 칵테일 제조하시는 것 볼 수 있습니다 사장님&견습생(?) 분 너무 친절하시고 얘...,(긍정 확률 : 0.94) 긍정
MA010120220800595661,바프로,진짜 별로에요,(부정 확률 : 0.95) 부정
MA010120220800595661,바프로,친구랑 신촌 술집 찾다가 유명한 곳이라고 소문이 자자해서 방문하게 되었습니다!! 15000원으로 원하는 칵테일을 무제한 즐길 수 있다는 점이 일단 가장 만족스러웠습니다..❣️더불어 안주로 시킨 버팔로 윙앤칩도 너무 맛있었고 무엇보다도 사장님의 넉살좋은 성격과 화려한 칵테일 제조 기술이 재방문 의사를 더더욱 굳혀줬습니다🤭 가격도 그렇게 비싸지 않고 음식도 너무너무 맛있으니 신촌에 오시면 한번쯤 방문해보시길 추천드립니다 !!,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,"스무살 돼서 칵테일 바 처음 와봤는데 입문용으로도 좋은 곳 같아요. 신촌역에서 가까워서 찾아오기도 쉬웠습니다. 15000원에 여러가지 맛을 볼 수 있어서 좋았어요!! 블루하와이랑 미도리사워, 안주는 버팔로윙 앤 칩 먹었어요. 칵테일은 가볍게 한 잔씩 하기에 양이 적당하고 안주도 맛있었어요. 사장님이 매우 친절하시고 다트게임기도 있어서 편하게, 즐겁게 놀고 갑니다!! 단골될 것 같아요. 다음에 오면 추천해주신 그래스후퍼도 꼭 먹어보려고요~",(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,진짜 말이 필요 없습니다.. 안주는 꼭 소불고기 나쵸로 드세요🥹 나쵸랑 소불고기 조합이 단짠인 게 진짜 입에 살살 녹아요... 꼭 드셔봤으면 좋겠어요ㅠ 그리고 바텐더분이 친절하셔서 친구랑 편하게 즐기다 갑니다 ㅎㅎ,(긍정 확률 : 0.97) 긍정
MA010120220800595661,바프로,분위기가 편하고 술도 맛있고 사장님두 친절하시구 정말 좋아용 다트도 같이 즐겼눈데..다트에 맛들려버렸지 모예요 ㅎㄷㄷ  여기오시면 사장님이 직접 만들어주시는 시그니처보틀이 아주 쥑입니다 너무 맛있고 여기서 술을 많이 배웠죠 ㅋㅋ 술이 아주 다양해요 특별한기념일에 방문하시면 불쇼이벤트도 하는데 정말 멋있어요 방문 안한 사람은 있어도 한번만 방문한 사람은 없죠 정말 좋아요 단골 각이네요ㅋㅋㅎㅎㅋㅋ,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,어쩌다보니 20살때부터 다닌 단골손님입니다! 네이버 리뷰를 7년이나 다니면서 한번도 쓴적이없었네용 :) 가게에 원하시는 칵테일이 없으면 요청하실시 맛있게 만들어주시니 꼭 사장님께 요청해주세요 신촌에 한자리에 오래있던만큼 인테리어가 요즘느낌은아니지만 조명과 가게 분위기가 좋습니다! 어린친구들은 다양한 무제한칵테일도 자주 주문하니 취향에 맞게 골라 주문해주세욥! 다트기계도1대있어 술내기도 하기 좋고 날씨좋을땐 루프탑도있으니!! 신촌에서 술 많이 마시고 재밌게 놀고싶다면 강추드립니당👍😁🍹🍸,(긍정 확률 : 0.97) 긍정
MA010120220800595661,바프로,정말 즐겁고 뜻깊은 시간 보냈습니다..생일축하해주셔서 감사합니다!! 이 순간 영원히 못잊을 것 같아요ㅜㅜㅜㅜㅜㅜ정말 감사합니다!! 사장님짱!!👍👍 (이건 안비밀인데..사장님 진짜 멋지심),(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,사장님께서 급작스럽지만 남자친구생일축하 이벤트 말씀드리니 진행해주셔서 정말 감사했습니다! 작은 정이 담긴 케이크랑 이벤트 구성도 좋았어요!!♡♡ 감사합니다.,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,사장님이랑 다트게임도 하고 재밌어요 안주도 짱짱,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,"안주도 너무 맛있고, 사장님도 너무 재밌으세요!! 술 종류도 다양하고 타트 게임도 있는데 게임 하시면 진짜 재밌을거 같아요!! 추천입니다!!",(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,술 맛있고 사장님이 친절하세여~,(긍정 확률 : 0.98) 긍정
MA010120220800595661,바프로,사장님도 친절하고 술도 맛있고 다트게임도 재밌습니당👍❤️ 분위기도 좋고 다음에 또 올 듯 해요,(긍정 확률 : 0.98) 긍정
MA010120220812318844,비어어클락,분위기도좋고 맥주맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,스트레스 받을땐 호탕마라탕 이지오융 우우어 최고,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,너무 맛있어요... 음식 청결 맛 하나 빠지지 않아요 신촌 오면 여기서만 먹어요 ㅎㅎ,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,신촌 최고의 마라탕 최고의 선배님 짱이십니다,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,단골 맛집 추천해요!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,신촌 최고 마라탕 맛집,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,정말 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,신촌 연세대 앞에있는 호탕마라탕! 완탕비빔 살짝 시큼하면서 맛있어요. 마라탕 말고도 탄탄면 등 숨겨진 맛있는 메뉴가 많으니 도전해 보세요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,매일 오는 곳... 신촌에서 마라탕 마라샹궈는 여기뿐이다,(긍정 확률 : 0.97) 긍정
MA010120220812974480,호탕마라탕,맛있어서 자주 와요~,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,마라샹궈도 정말 너무 맛있고 꽃빵 함께 곁들여 먹으니 조합이 진짜 엄청 맛있습니다! 완전 맛있게 잘 먹었어요!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,너무 맛있고 사장님 친절해요!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,얼얼한게 땡겨서 마라탕가게 찾다가 들어갔는데 오랜만에 얼얼하고 맛있는 마라탕 찾았어여!!:),(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,진짜 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,존맛,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,신촌에서 마라샹궈 먹으러 자주 오는 곳인데 항상 친절하시고 맛있습니다!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,매주 와요😋😋 맛있어요!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,쉽게 접해보지못한 메뉴들이 있어서 좋았어요! 색다른메뉴 드셔보시는걸 추천드립니다! 맛있었어요!,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,여긴 꿔바로우 말고도 다양한 사이드메뉴들이 있어서 너무너무너무 좋습니다👍 맛은 뭐 디폴트값이고요!!ㅎㅎㅎ 강력 추천합니닷,(긍정 확률 : 0.98) 긍정
MA010120220812974480,호탕마라탕,"여긴 진짜 현지맛이에요👍🏻 마라탕도 맛있지만 완탕, 쏸라펀, 우육면, 성젠바오 등 여기 있는 메뉴들 다 맛있어요! 오랜만에 왔는데 역시나 맛있네요 :)",(긍정 확률 : 0.98) 긍정
