상가업소번호,가게명,리뷰,evaluation,sentiment,persent
MA010120220805435729,몽중헌 안국점,식사하기 좋아요. 모임이나 분위기 차분하게 식사하기 좋은 곳이에요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,하교 구채교 너무 맛남!!!!!!!   맛있는데 가격이 사악해요 ㅜㅜㅜ,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220805435729,몽중헌 안국점,딤섬이 맛있는 곳입니다!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805435729,몽중헌 안국점,창덕궁 구경하고 신랑이 밥 사준다고 해서 간곳이에요 하루 전에 예약 했구요 동네서 먹던 중국집이랑은 가격도 양도 맛도 차이가 많이 났어요 제 입맛에는 딤섬 특히 맛났고 광동식 탕수육 좋았어요 특별한 날 오니 맛있게 먹고 아주 행복했어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,럭스유,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,중식당,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805435729,몽중헌 안국점,팁을 마구마구 주고싶은 중화요리레스토랑입니다. 고급을 먹는구나 내가 성공했구나라고 느끼게 해주누 고급진 인테리어와 직원의 친절과 서빙. 뭐니뭔니해도 음식맛은 속일 수 없죠. 시그니처딤섬 꼭 드시고 말씀하세요. 강추입니다. 그리고 피클무...이건 어떻게 만드는건가요? 배우고싶이요. 오죽하면 피클무 사진을 찍었네요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,북촌 구경 후 바로 앞에 있던 몽중헌에 입장. 가성비와는 반대의 금액이지만 딤섬 칠리새우 잡탕밥 모두 또 먹고 싶을 정도로 신선한 재료와 소스가 어울어져 맛있었어요. 짬뽕은 국물이 무겁고 짜서 호불호 있을 듯합니다. 프라이빗한 모임으로 제격이네요. 써버의 친절함도 좋았어요.,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,ㆍ,(긍정 확률 : 0.89) 긍정,긍정,0.89
MA010120220805435729,몽중헌 안국점,예약하고 가서 웨이팅은 안했어요  딤섬 맛있는데 3개가 나와서 한개 추가해서 먹었습니다. 두명이서 가서 짬뽕 짜장 시켰는데 주문받을때 미리 2개로 나눠서 줄지 물어보시더라구요! 그릇에 반씩 나눠서 주시고 좋았어요~!,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,런치 C코스 주차할 곳없어서 들어갔다가 입이 매우 호강~ 게살스프부터 디저트까지  너무 맛있어서 배부른데도 엄청 먹음;; 갠적으로 딤섬과 칠리새우 킹존맛! 추가해서 먹고싶은 맛이였움. 특별한 날 가기 매우 좋음요~,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805435729,몽중헌 안국점,시그니처ㅠ볶음밥은 쏘쏘. 짬뽕이 맛있네요,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220805435729,몽중헌 안국점,유린기는 맛나요^^ 짬뽕은 국물이 고기육수인거 같아요~ 일단^^ 가격대비 맛은 ~ 하지만 고급스러움과 친절함 서비스 가격^^,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,친절하고 음식도 따뜻하고 맛있어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,청결하고 인테리어 굿인데요.  예약하고 가시는게 좋긴해요.  친절 안하진 않았지만 좀 차가운 느낌이네요. ㅎ 구채교 딤섬 맛있어요.  소고기짜장면도 괜찮구요  짬뽕은 좀 간간했어요. 제 입맛엔~,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,음식이 나오는데 시간이 오래 걸려요,(긍정 확률 : 0.56) 긍정,긍정,0.56
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805435729,몽중헌 안국점,좋아ㅛ,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220805435729,몽중헌 안국점,"장점 주차가능, 딤섬류 맛있음  단점 딤섬류 가격이 사악함 가격에 맞지 않는 음식 맛과 서비스 수준 연잎밥 만이천원에 에어팟 프로만한거 나옴 요리류 정말 맛없음 동파육과 우육탕면은 돈내서 억지로 먹는데 고문수준 동파육에서 진짜 역겨운 향신료맛 나서 매니저한테 물어보니 원래 이런거다 라고 띠껍게 대답 들음  다시는 방문 안합니다. 다른 맛있는 딤섬집 많습니다.",(부정 확률 : 0.97) 부정,부정,0.97
MA010120220805435729,몽중헌 안국점,ㅇㅋ,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805494648,mishmash,모든 것이 완벽한 곳,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,생일파티파러 왔어요 🥳 친절하구 음식도 맛있네요! 생일레터링까지 굳굳👍,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,"외국인 친구 생파겸 컨템포러리 한국음식을 대접하고 싶어 왔어요~^^  사실 지난번 먹은 파절이를 곁들인 닭다리 구이가 생각나서 제가 더 오고싶었던 곳이긴 합니다.ㅋ  친구는 두릎이랑 같이 나온 돼지고기가 진짜 넘 부드러웠다고, 최고~라고 외치더라구요^^ 시그니처 갈비 요리두 맛났어요^^ 크리스마스 장식이랑 레드 플라워 데코가 너무 예뻤고, 이른 크리스마스 분위기를 내는 분위기였어요.^^ 주차도 편해서, 여러모로 맘에 들었던 식사시간이였습니다!  서빙해주는 외국분들 진짜 친절해요. 레터링 있던 디저트도 센스 최고입니다.^^ 👍🏻",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,창 밖으로 보이는 창덕궁과 함께 분위기가 고즈넉하고 좋ㅡㅂ니다 주차는 빡셔요 화장실은 남녀공용 한칸이지만 깨끗함 커플이나 중년여성분들이 많이 찾는듯?,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,분위기 있고 조용하고 깨끗하고 기교부리지 않은 단백한 코스 요리였어요 사랑하는 딸아이의 초대로 대접 받은 식사였습니다,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,가을에 단풍뷰로 유명해서 예약했는데 너무 늦게가서 단풍은 없었어요ㅠㅠ 그래도 통창으로 궁이 보여서 여유로움이 느껴져서 좋았어요!  코스 음식들은 전체적으로 자극적이지 않고 적절히 감칠맛이 돌아요! 양이 적으면 어쩌나 걱정했는데 양도 많아요:) 특히 디저트!! 따로 판매하면 사먹을 것 같아요!!,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,"창덕궁역 뷰맛집. 엄마랑 호캉스 여행기념으로 다녀왔어요. 매장도 깔끔하고 직원도 친절^^ 음식은… 뭐 크게 기대는 안했는데 그냥 괜찮고.  특별한 날 한번쯤 가보는것도 괜찮을듯.. 애피타이저로 나온 연어샐러드는 약간 비렸는데 육전 괜찮습니다. 마늘밥, 맛있어요. 반찬 몇가지만 더 있었으면 하는 아쉬움이 살짝~~~ 창가뷰에 엄마는 좋아하심요.",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,가을 은행나무가 예쁘게 보이는 레스토랑인데 예약을 못해서 카페로 다녀왔어요 커피도 에이드도 맛있어서 레스토랑 꼭 한 번 방문하고 싶어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,가을에만 누릴 수 있는 풍경이라 소중해요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,특별한 날 가고 싶은 곳이고 뷰 맛집이다 런치코스를 먹었는데~ 음식도 넘 맛있고  퀄리티도 좋았다. 다소 아쉬운점은 가격이  비싼편이고 다음요리가 나오는 텀이 길었고  주차가 좀 힘들었다,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,"무엇을 하지 않아도 괜히 기분 좋은 생일에, 맛있고 근사한 저녁을 먹게 되어 정말 행복했습니다💓 메뉴들이 어쩜 하나같이 정갈하고, 담백하고, 조화로운지 한 입 먹을 때마다 감탄의 연속이었습니다. 다음에는 낮에 재방문하겠습니다:D 정말 잘먹었습니다!",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805494648,mishmash,좋아요,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220805494648,mishmash,정갈하고 깔끔하고 맛있어요 가을엔 낮에 예약해야 풍경도 이쁘다는데 저는 저녁에 다녀왔어요 맛나게 잘먹고 왔구요 직원분들이 외국인분들이지만 한국말도 잘하시고 너무 친절하게 잘 대해주셨어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,급 생각나서 올리네요  이런 맛집은 올려야함 ^^  아주 잘먹었습니다 요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,너무 맛있어서 ~~ 첫 입 먹자마자  녹았네요 ㅎ  다음에 또 예약하고 갈게요  감사,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,"드디어 가을뷰를 볼 수 있는 시즌이 돌아왔어요~^^ 한달에 한번 예약이 오픈되는 시스템이라 광클로 예약 성공했지요~😍 친구도 12시 되자마자 미친듯이 눌렀는데, 저만 성공 ㅎㅎ 단풍잎이 살짝 물들기 시작했드라구요. 다음주면 예쁘게 물들거 같습니당^^ 간만에 먹는 시그니처 메뉴인 갈비와 새로 나온 슬로우 쿡한 돼지고기는 정말 입에서 살살 녹았어요~~~  어떻게 이리 부드러운거죠? 😭 오늘도 모임 잘하고 가요! 🥳",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,맛 뿐만 아니라 단풍이 절정인 10월 말에 아주 분위기 좋았습니다😋 기념일에 딱이겠어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,맛도 서비스도 인테리어도 너무 좋았던 곳!!! 맛은 간도 적절하고 매 음식마다 맛이 달라서 다채로운 경험을 했고 서비스는 여자 직원분들이 모두 친절하고 부드럽게 설명해주셔서 너무 좋았습니다^^ 곳곳에 놓인 흰색 꽃들은 한옥과 잘 어우러져 너무 아릅답네요❤️사진 찍게 해주셔서 너무 감사해요 덕분에 좋은 추억들을 만들어 갑니다❤️❤️,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,소갈비 맛있어용,(긍정 확률 : 0.93) 긍정,긍정,0.93
MA010120220805494648,mishmash,"상견례로 다녀왔는데, 상견례 장소로는 아닌거 같아요. 불안정한 예약 시스템, 모기 많고, 어른들 입맛에 안맞는 음식, 비싼 가격 등 결혼을 준비하며 젤 후회 되는 선택이 됐네요. 우선, 예약 때부터 미쉬매쉬 예약 시스템으로 기분이 나빴습니다. 2달 전부터 3차례 전화로 예약 방법을 체크했고,안내 받은대로 어플로 예약을 했는데도 불구하고, 이미 다른 사람이 전날 전화로 예약했다 그래서 너무 화났죠.  한달 밖에 안남은 시간에 다른데 알아보고 예약할 수 없었고, 겨우 이사님이 조율해주셔서 기분은 나빴지만 갔어요. 하지만 상견례 하면서 모기 잡느라 바빴고, 뒤늦게 홈매트를 해주셨지만 소용이 없었습니다. 음식도 디너라 비쌌지만 맥주 4병과 와인 1병까지 추가 12만원 넘게 나오고, 총 7명이서 85만원을 썼네요..",(부정 확률 : 0.58) 부정,부정,0.58
MA010120220805494648,mishmash,친절해요 ! 굿,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805494648,mishmash,특별한 맛이라고 느껴지지는 않았는데 맛이 없지는 않았어요 😄 뷰가 예뻐서 기분낼겸 기념일에 방문하기 좋아요!,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,좋아여,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220805518407,아트마,크리스마스날 여자친구와 방문했는데 매장이 따뜻한 연말 분위기라 너무 좋았어요 오붓하게 둘이 잘보내다갑니다 번창하세요❤️,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,크리스마스날 방문했는데 분위기도 너무 좋고 대화하기도 편해서 좋았습니다 사장님 선곡도 좋아 크리스마스 분위기 제대로 느꼈어용 팬케이크랑 칵테일 맥주를 주문했는데 쓴 술과 달달한 팬케이크가 너무너무 잘어울렸어요 그리고 팬케이크 양이 넉넉해서 넘넘 좋았습니다ㅎㅎ,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,음료 종류가 다양함~ 커피 낮술가능.  칵텔일 시켰는데 가격대비 맛좋았음.  마가리타 완전 찐하고 굿! 팬 케이크 맛집이라는데 배불러서 제대로 못 먹음;  주변에 사람 꽉꽉차서 우연히 들린곳인데 덕분에 얘기 잘하고 잘 먹고 옴 (들어갈때 손님 둘 뿐였는데 나올때 꽉꽉 들어참... 어디든 나올때 만석),(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,버터 팬케이크와 칵테일 함께 먹었습니다! 칵테일은 가격이 좀 있지만 맛이 좋았고 버터 팬케이크가 살짝 느끼하더라구요~^^ 친구들과 즐겁게 이야기나누고 갑니다!,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,재방문! 분위기도 좋고 안주도 맛있어요. 다음에 또 올게요 :),(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,사장님 친절하시고 음식도 맛있었어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,좋은 추억만들고 갑니다. 브런치 맛있네요.,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,굳,(긍정 확률 : 0.87) 긍정,긍정,0.87
MA010120220805518407,아트마,열심히 카페찾다가 그카페들이 만석행진이라 열심히 돌아다니다가 찾은카페~ 아기자기한 사이즈이지만 매뉴도 다양하게 있는카페입니다! 캐모마일 먹었는데 티백을 좋은거쓰나 맛이 깊게 우러나서 좋았어요☺️💪💪,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,조용하고 분위기 좋아요 ^^👍 무료 전시도 볼 수 있고 간단히 기분 내는 술 종류도 많아 대화하기 좋아요👏👏 저녁 6시 이후 분위기가 더 아늑해져요~,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,친구랑 저녁 먹고선 2차로 간술하러 갔는데 대만족이에요!!!! 다음에 또 갈 예정 :),(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,저녁에 맥주마시러 갔는데 칵테일 종류가 많더라구오 그래서 칵테일도 시켰는데 맛있었어요 음식도 다 괜찮았습니다,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,분위기가 너무 좋고 2차로 술마시기 너무 좋아요 !!! 저녁에 가면 조명이 다르니 추천드립니다,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805518407,아트마,"브런치를 이제 막 개시하셔서 사람들이 잘 모르더라구요!ㅜㅜ 브런치만 적힌 메뉴판이 테이블마다 있었습니다~ 기본에 충실하게 담백하고 맛있었구요 베이컨도 두께가 있어 꽤 배불렀어요 팬케이크는 잘 구워졌고 계란도 써니사이드업, 스크램블 등 고를 수 있더라구요~ 토마토랑 아스파라거스도 신선했습니다 직접 구우신 크로와상도 너무 맛있었어요~ 비오는 오후 날이라 맥주 한 병 먹고 갔는데 나중에 저녁에 또 방문해서 술과 다른 음식도 먹어보고 싶어요~ 혼자 들어갔는데 친절하게 맞이해주셔서 너무나 기분 좋았습니다 바우하우스 액자 걸린 공간이 특히 예뻤어요 리뷰는 진짜 안 남기는 편인데 잘 먹고 나와서 이번엔 남기고 싶었어요 번창하세요^^ 골목 살짝 안쪽이라 더 운치있고 아늑했고 안국역 오면 또 방문하고픈 곳이었습니다♡",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805518407,아트마,..,(긍정 확률 : 0.82) 긍정,긍정,0.82
MA010120220805529268,비어셰프냐항,맛있고 친절,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805529268,비어셰프냐항,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805529268,비어셰프냐항,맛있어요!!!❤️❤️❤️,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,음식도 다양하고 직원분이 친절합니다,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,새우볶음밥 반미 쌀국수 모두 맛있었고 그중 새우볶음밥과 반미가 정말 맛있었어요~ 그런데 반미 속 감튀는 좀 아쉬웠습니다~^^ 친구들과 맛있게 먹고 갑니다~,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,불향쌀국수 그릇 보고 엄청 커서 깜짝 놀랐어요 ㅎ 직원분들이 친절하세요 반미도 크고 양도 넉넉하고 맛도 나쁘지 않게 맛있게 먹었어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,새우볶음밥 강추~,(긍정 확률 : 0.91) 긍정,긍정,0.91
MA010120220805529268,비어셰프냐항,불향쌀국수 육수가 넘 맛있어요 반미 빵도 바삭하고 고소해요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,독특하고 맛있어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,"불향이 시그니처라는 이야기를 들었는데, 일반이지 않은 훈연향이 매력적인 쌀국수였어요☺️ 반쎄오도 맛있고 양이 많아서 배불리 먹고 왔습니다 ㅎㅎ",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,맛난 덤심,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805529268,비어셰프냐항,반미가 진짜 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,맛있어요 반미최고,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,음식이 전체적으로 짭니다 위 생도 아주 청결 하지 않습니다,(긍정 확률 : 0.91) 긍정,긍정,0.91
MA010120220805529268,비어셰프냐항,새우 볶음밥 첫 맛 음. . 맛있다. 양이 진짜 많다. 남자들 먹기 좋은 양이다. 먹다보면 느끼하다.  불향 쌀국수. 내가 먹었을 땐 면이 꽤 많이 살아 있어서 살짝 안 익은 것 같은 느낌이 들었다.  맛은 ..음 독특한 맛이다. 베트남 현지와 한국 입 맛 잘 조화 된 듯 하다. 양 최고다. 고기 양도 많고. 고기는 간간이 냄새가 나는 것도 있다.  여기는 늘 줄이 서있는 곳. 그만한 이유가 있는 듯.  가성비 면에서 최고라 생각한다.,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,진짜 맛있어윱!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,좋은 물건 고맙습니다. 많이 파세요~,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,비빔쌀국수는 여기서 처음먹어봤는데 새콤달콤하니 별미네요! 자리가 협소한게 아쉽지만 맛있게 잘먹었어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,좋아요,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220805529268,비어셰프냐항,좀 기다리만 그건 기본이라 반미 맛 무지무지 행복한 맛 불향 쌀국수도 맛짱,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220805529268,비어셰프냐항,진짜.....매끼니먹을수있을만큼 맛있어요ㅠㅠ,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,굳,(긍정 확률 : 0.87) 긍정,긍정,0.87
MA010120220805529268,비어셰프냐항,지인의 추천으로 갔습니다. 무조건 서있는게 아니라 노트에 적고 기다리다 먹었습니다. 배가 고파서 불고기덥밭과 쌀국수를 시켰는데 둘이 먹기에 양이 너무 많아서 배불렀습니다. 다른집 양색각해서 시컸다 고생해씁니다. 그래도 맛도 있고 인테리어도 특이하고 이국적인 분위기 좋았습니다. 직원분들도 아주 친절합니다.,(긍정 확률 : 0.88) 긍정,긍정,0.88
MA010120220805529268,비어셰프냐항,맛집!!,(긍정 확률 : 0.93) 긍정,긍정,0.93
MA010120220805529268,비어셰프냐항,맛있어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,😆,(긍정 확률 : 0.84) 긍정,긍정,0.84
MA010120220805529268,비어셰프냐항,직원분들이 정말 친절하고 맛도 맛있었습니다😊 날이 선선하니 가게 안보다 밖에서 먹으니까 더 좋더라고요~,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,가성비 좋고 맛나요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,맛있어요! 전화주문 후 테이크아웃으로 먹었는데 만족이에요 :),(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,요즘 자주 가는 맛집입니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805529268,비어셰프냐항,좋아요,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220805529268,비어셰프냐항,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805529268,비어셰프냐항,향신료 맛이 약하지만 깔끔한 맛이라 괜찮아요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,맛있어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805529268,비어셰프냐항,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805529268,비어셰프냐항,맛이 있는지 모르겠어요 왜 이렇게 왜이팅이 긴지 엄청난 맛집은 아닌 것 같아요 리뷰 보고 기대했다가 실망했어요,(부정 확률 : 0.51) 부정,부정,0.51
MA010120220805529268,비어셰프냐항,맛나요!,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220805529268,비어셰프냐항,ㅇㅇㅇ,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,"직원분들 진이이이이인짜 친절하세요! 바쁘신데도 친절함을 잃지 않으셨음,,ㄹㅇ 쌍따봉 제가 간 날은 비가 왔는데 빗소리에 운치가 끝내줬어요. 쌀국수에서 불향이나서 진짜 신기했고 맛있었습니다. 기본적으로 고수는 다 안들어가고 요청하면 주세요! 바베큐 세트에 나오는 저 샐러드들 진짜 너무 맛있었어요!! 사진은 안찍었지만 새우볶음밥도 멋었습니다^^ 반미 먹고싶었는데 품절이였어요ㅠㅠ 웨이팅이 조금 있었지만 아아주 만족스러운 식사를 하고 왔어요!",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805529268,비어셰프냐항,친절함,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805858556,무에,"매장이 넓진 않지만 아늑하고 편안한 분위기가 느껴져 좋았습니다 커피, 디저트도 너무 맛있어요❤️ 운좋게 산책하던 댕댕이도 들어와 같은 공간에 있을수 있어 더 좋았습니다",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805858556,무에,날씨 좋은날 한번더 가보고 싶은곳~  화장실 계동교회 이용,(긍정 확률 : 0.99) 긍정,긍정,0.99
