상가업소번호,가게명,리뷰,evaluation,sentiment,persent
MA010120220802418610,한신포차 신촌점,너무짜서 먹지도못하구 민증검사 ㅠ 유도리도없구 다하는건 진심이지만 ㅠ,(부정 확률 : 0.95) 부정,부정,0.95
MA010120220802418610,한신포차 신촌점,맛잇어용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,친절해요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,"한신포차 닭발 킬러입니다. 여기 신촌점이 여태 먹은 닭발 중 남바원이였습니닼 닭발먹느라 맥주시키는걸 깜박할정도였어요 슈방.. 맵기, 달기, 국물자작도 아주 맘에 듭니다 껄껄 또올게요👍",(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220802418610,한신포차 신촌점,불친절,(부정 확률 : 0.95) 부정,부정,0.95
MA010120220802418610,한신포차 신촌점,계란찜 맛있어요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,조아용,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220804841693,신촌관,시끄러움..,(부정 확률 : 0.95) 부정,부정,0.95
MA010120220804841693,신촌관,"안주 짱맛탱,,, 분위기 핫하고 넓어서 좋아오!!",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,저 안주 3개에 소주 한병으로 27000원 나왔어요 가성비 갑에 맛도 있고 화장실도 깨끗해서 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,분위기가 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,👍🏻,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220804841693,신촌관,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220804841693,신촌관,안주도 술도 종류 진짜 많아요. 매장 커서 편했고 실내 분위기도 좋네요.,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,맛있어요^^,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,안주랑 바나나 막걸리 다 맛있어요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,"탕종류 안주도 저렴하고, 급하게 단체 2차 모임을 했음에도 불구하고 자리도 넉넉하게 준비 해 주셨고, 가성비있게 잘 먹었습니다.  찰리주막 번창하세요!",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,마시가 있음!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,가게는 좀 시끄럽지만 음식이 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,막걸리가 달달하니 종류가 많아서 좋습니다ㅎㅎ 파전도 종류가 다양하니 느끼하지도 않고 너무 맛있었습니다ㅎㅎ 매장도 청결하니 머물기 좋은 가성비 좋은 술집이었습니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,바삭한 감자전 같은 느낌?? 근데 진짜 맛있었어요!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810411425,찰리주막 신촌점,맛있어용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,친구랑 먹으면서 대화하기 좋았어요💖!! 칵테일 종류가 진짜 다양해서 고르기 어려웠어요ㅎㅅㅎ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,좋아요!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,분위기가 좋아서 시간 가는 줄 모르고 얘기했어요! 안주도 맛있고 칵테일도 양 많고 맛있어요:)💖,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,분위기가 좋아요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,칵테일,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220810815413,코지라운지,여기는 있잖아요.. 감성만으로도 취하는 곳이에요 넘 고급지고 아늑하고 그윽하고 휴식이 되는 바 칵테일 아주 정성지게 말아주시고 나초랑 피자 도우도 두껍고 손품 많이 들여서 내와주심 ㅠ 존좋,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220810815413,코지라운지,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,생긴지는 꽤됐는데 이번에 처음가봄. 존맛임. 소금막창은 고소하고 알곱창은 불맛나서 좋았음. 근데 주먹밥은 시키지마셈 볶음밥 ㄱㄱ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,짱맛,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,간이 쎄지만 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,맛도 맛있는데 양이 많아 진거 같아서 좋았어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,둘이 배불리 먹었어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,와 모듬막창 진짜 맛있네요. 개인적으로 소금이 젤 맛있고 데리야끼 양념도 진짜 너무맛있어요. 막창 냄새하나없네요. 나중에 곱창먹으러 또 갈꺼에요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,양이진짜많았던 순대곱창. 순대곱창2인 +당면추가 + 치즈추가 하니 진짜 배터지게 먹음. 볶음밥은 안시키면 아쉬울것같아 주문한건데 존....맛! 1단계가 신라면 맵기라는데 2단계는 살짝 얼얼하게 매웠다. 맛도 맛있고 가성비도 좋음 + 조리가 다 되어나오는게 킬포 👍👍👍,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,곱창 냄새 안 나고 부들부들 맛있어요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,너무맛있어요ㅠ 막창 존맛탱...사장님 엄청 친절하시고 볶음밥꼭먹어야함!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805834391,야곱의축복 신촌점,저번에 먹었던 야곱/막창 사진으로 리뷰남깁니다! 두번째 방문인데 기복없이 존맛 곱창집입니당😚 야채곱창도 마싯고 막창도 마싯고 둘이 반반씩 시키면 조화롭게 먹기 가능합니댱! 볶음밥도 꼭 먹어주세여 날치알도 많고 간이 딱입니당! 야곱의 축복 최공!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220806790112,푸른바다찜탕,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220806790112,푸른바다찜탕,양이 많고 맵기단계 선택할수있어 좋네요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220806790112,푸른바다찜탕,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220806790112,푸른바다찜탕,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,서비스도 주시고 먹태 너무 맛있었어요😄😄  그리고 알바생분? 되게 활기차셔서 즐거웟네요 대화하기에도 넘 좋고 칵테일 무한리필이라 엄청 많이 마셨어요!! 다음에 또 들릴게요!!🥰🥰💞💞💞,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,바텐더님께서 직접 만들어주신 시그니처 칵테일 너무 맛있어요💕💕 다트게임도 하고 맛있고 단 빠라라샷 잘 먹고 가요😎,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,안주도 맛있고 칵테일 종류도 다양해서 완전 가성비 맛집! 글고 바텐더가 잘생겼어요😉😉,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,맛있고 친절하고 다트가 재밌어요!!! 서비스도 주시고 다시 오고 싶습니다🤪,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,친절하시고 맛있어요 다트도 재밌고 노래가 특히 좋아요!!👍,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,진짜 재밌어요 ㅋㅋㅋㅋ 다트게임해서 샷도 마셨답니다 🤩 술도 맛있고 안주도 맛있습니다 저는 갠적으로 시그니쳐 칵테일 젤 추천합니다 ❤️ 술도 맛있고 눈도 재밌습니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,분위기 넘넘 좋고 사장님 친절쓰 합니다!! 안주 소불고기 나쵸 시켰는데 너무 맛있어요!! 또 와야겠네용🙏🏻❤❤,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800595661,바프로,칵테일 메뉴도 많고 분위기 좋은 바 새로 발견했어요!!! 💝💝💝 단체석 많고 루프탑도 있어서 날 선선해지면 단체로 또 올게요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812318844,비어어클락,굳,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220812318844,비어어클락,가성비 짱 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라맛 꿔바로우 최고에요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,여기 마라는 매운맛 1단계가 백탕에서부터 시작해서 맵찔이인 저도 2단계를 편안하게 먹을 수 있었어요! 라면보다 안 매웠고 3단계부터 보통 마라탕 1단계쯤일 듯. 대신 향신료맛은 강해서 입안이 저릿저릿해저릿저릿했네요 ㅎㅎ 꿔바로우도 튀김옷이 바삭하고 소스에 젖었을 때 쫄깃해져서 맛있었습니다. 소스가 새콤한 편이라 중국음식의 거북함을 잘 잡아 줬어요.,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220812974480,호탕마라탕,신촌에서 제일 맛있는 마라탕집,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,맛있었어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,처음 왔는데 분위기 좋아요♡,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,얼얼한맛이 꽤 있는 마라탕이예요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,여기서 마라탕을 먹기 위해 신촌까지 온답니다😂 너무 맛있어요…!!!! 이 식당만의 맛이 너무 좋아요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,호탕마라탕은 호탕이다,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220812974480,호탕마라탕,짱 맛있어요!!!! 얼얼한 맛이 일품입니다bb,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,꿔바로우가 넘나 맛있어요^^ 이번엔 마라탕먹었는데 다음엔 샹궈도 먹어보고싶네요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라탕은 맛있었는데 꼬바로우는 너무 맛이 없었어요 ㅠㅠ 개선해주시면 좋을거 같아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,맛있게잘먹었습니다 다음에 또올께요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라탕 처음먹어보는 친구 데려왔눈데 대만족하는중,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220812974480,호탕마라탕,우연히 들어왔는데 맛있어요 ~ 다만 배달주문도 많고 두분이서 일하시다보니 음식이 나오는 데까지 시간이 좀 걸려요 ㅠ 다른 마라탕가게보다 덜 자극적이고 덜 매워요 ! 다음엔 3단ㄱㅖ 먹으려구요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라탕이랑 꿔바로우 둘다 정말 맛있었어요! 다만 마라탕이 조금 자극적인 향이랑 맛이라서 잘 못드시는분들은 바로 1단계가 좋을것같네요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,"마라탕이 왜 인기지 싶은 의구심으로 가득했을 때, 물조차도 탄산수 맛이 날 정도의 얼얼함으로 무장한 호탕마라탕을 경험하고 마라탕을 믿게 되었습니다.  종종 중국 여행 가고싶을 때 한번씩 들려요",(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220812974480,호탕마라탕,마라탕 먹고 싶을때마다 여기 와서 먹어요! 마라향이 적당히 나서 너무 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라탕 보통 시켰는데 완전 얼얼하고 맵고 맛이써용 🚨❤️‍🩹,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,배달의 민족에서 마라탕 집으로 유명해서 직접 방문 해봤습니다. 매장은 7-8개 테이블이 넉넉하게 배치 되어 있고 메뉴도 합리적인 가격에 다양해서 좋네요. 음식도 빨리 나와서 맛있게 먹었습니다 :-),(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,마라탕 맛있게 먹었어요 보통맛으로 먹었는데 많이맵지않고 딱 좋았어요 양도 엄청많아서 배터지게먹고왔습니다🫶🏻,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220812974480,호탕마라탕,이게 마라지,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220812974480,호탕마라탕,벌써 5년째 방문이네요. 마라탕 역사의 시작부터 지금까지 항상 같은 맛을 자랑하는데 약간 마라탕계의 버거킹같은 느낌입니다. 너무 일반화되어있지도 않고 그렇다고 강한 색깔을 내지도 않고 하지만 맛은있는 딱 그런맛이네요. 앞으로도 항상 열심히 잘 운영하시길 기원하며 맛있게 식사하겠습니다!,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220812974480,호탕마라탕,마라샹궈 추천해요!! 마라맛 강해요 쵝오,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,"고기도 맛있고 비빔국수, 볶음밥두 넘 맛나요😋👍",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,나이스 ~~~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,굳,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220800846433,한림돈가 본점,Whdkddy,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220800846433,한림돈가 본점,"고기 양이 좀 적은 것은 사실이나 걱정과 달리 직원분들이 매우 친절하셨습니다! 맛은 여전히 맛있었어요 특히 구워먹는 김치가 진짜 존맛탱,,👍",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,맛없음,(부정 확률 : 0.95) 부정,부정,0.95
MA010120220800846433,한림돈가 본점,정말 실망한 곳입니다. 가격대비 양은 터무니없이 적고 맛도 그냥 무난합니다. 여기까진 그러려니 합니다. 제일 기분 나빴던 건 직원분들이 일을 너무 못합니다. 웨이팅하고 4팀이 나갔는데 보통 자리 하나부터 치운 후 들여보내주지 않나요? 여기는 4개의 테이블을 다 치우고 다 셋팅하고나서 한 번에 들여보내줍니다 이럴거면 왜 웨이팅 순서를 정하는지 모르겠네요. 바깥이 날이 좋은 것도 아니고 덥고 습해 죽겠는데 느적느적 모든 테이블을 다 치우고 있어요! 심지어 더 늦게 주문했던 뒷테이블부터 고기가 나오더라고요? 일이 처음이라 그런가 했는데 리뷰보니 예전부터 주말 저녁 타임은 욕이 많네요 근데도 개선이 안된거보면 앞으로도 뻔할 것 같습니다. 리뷰 진짜 좋게 주는 편인데 여긴 너무 최악이었습니다.,(부정 확률 : 0.87) 부정,부정,0.87
MA010120220800846433,한림돈가 본점,"사진은 맛있어보이는데 기름기가많음. 직원중에 마르신분은 친절하신데 다른분은 그렇지않음. 가격이 착하단 느낌은 못받았고, 볶음밥도 딱히...",(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220800846433,한림돈가 본점,비싸지만 맛있네요! 비빔국수 맛있고 볶음밥을 꼭 먹어야할 것 같아요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800846433,한림돈가 본점,다양한 이유로 재방문 의사 없습니다.   *가게운영시간 변경 고지 바랍니다. (현재 1시까지 운영하지 않음),(긍정 확률 : 0.78) 긍정,긍정,0.78
MA010120220813682123,꼼보포차 신촌2호점,ㄹㅇ단골집 하려구요,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220813682123,꼼보포차 신촌2호점,친절하고 맛있어용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,사장님이 매번 친절하세요 음식도 너무 맛있는거 많아서 좋아요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,음식 맛있고 고양이가 있어요 ㅜㅜ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,안주가 싸고 괜찮아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,사장님 짱짱 친절하시구 안주도 너무 다 맛있어요 😊,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,가성비 져음 2차로 딱임 소스에 글씨 써주신거 짱귀욥,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,싸장님께서 매우 친절하시고 즐거운 분위기!!!  저렴한데 맛도 훌륭해요!!!!  재밌게 놀다 왔어요~~ 감사해요!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,안주도 저렴해서 간단히 먹기 좋아요ㅎㅅㅎ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813682123,꼼보포차 신촌2호점,"신촌하면 꼼보만 갑니다,, 이날 서비스도 많이 주셔서 기분좋게 먹었습니다 ㅎㅎㅎ 나가사끼짬뽕 존맛,, 사장님 체고,,👍",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800574359,요이스시,초밥 맛있네요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800574359,요이스시,런치메뉴 12000원으로 인상됐네요..ㅠ 잘먹었습니다~^^,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220800574359,요이스시,친절하시고 너무 좋아요. 드디어 먹고 싶다던 초밥 골고루 먹고 행복해하는 모습보니 좋네요. 언능 나아서 또 먹으러 가겠습니다! 광어 광어지느러미는 살살녹아요 최고!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800574359,요이스시,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,루프탑에서 칵테일 마시니 시원하고 좋았어요 칵테일도 맛있고 피자도 맛나요 ㅎㅎ 직원분도 친절하시고 서비스도 주셔서 넘 조았습니당 커플이나 여자친구들끼리 오기 딱 조아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,분위기 좋고 사장님이 친절하세요 또 방문의사 있습니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,루프탑이 있는 신촌바! 너무 예쁜 술집이에요 실내 루프탑 둘다 예쁩니당~ 감자튀김이랑 칵테일마셨는데 빙수도 서비스로 주셨어요 :) 분위기 좋은 술집으로 추천드려요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,신촌역이랑 가까운 루프탑중에 이런곳이 있는줄 몰랐어요~ 인테리어도 너무 이쁘고ㅎㅎ 분위기 좋아서 시간 가는줄 몰랐네요ㅎㅎ 술종류도 다양해서 분위기 내고 싶을때 다녀오시는거 추천드려요!!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,신나는 음악과 신촌에서 루프탑 즐기기 좋은 곳입니다! 날씨좋을 때 시원하게 분위기도 즐기고 다양한 칵테일이 있어 데이트 장소로 굿굿! 피자도 은근 맛있었습니다👍,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,"신촌에서 가장 이쁜 루프탑 칵테일 바♥ 계단부터 화장실까지 안 이쁜곳이 없어서 어디서 사진을 찍든 인생샷임 체리, 블루베리 등 다양한 칵테일이 있어서 너어어무 좋음!",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,너무 예쁜 루프탑 칵테일집!! 날씨 좋은 날 옥상에 앉기 좋고 디제이가 오는 아래층도 분위기 좋더라고요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,예쁜 곳에서 좋은 사람과 맛있게 먹고 즐거운 시간 보낼 수 있어서 좋았습니당ㅎㄹ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,분위기가 정말 뒤집어지듯이 좋아용 !! 루프탑까지 너무너무 맘에 들어용 ❤️❤️,(긍정 확률 : 0.90) 긍정,긍정,0.90
MA010120220813099356,스카이문 루프탑,"루프탑이 있는곳 찾다가 방문했는데, 시끄럽지도 않고 너무너무 좋았어요 가성비도 꽤 괜찮은 곳이구요, 다만 계산할때 직원분이 세트로 하는게 더 싸다셔서 그렇게 계산했는데, 나중에 유심히 보니 단품이 더 싸더라구요. ㅜㅜㅋㅋ 약간의 해프닝이 있었지만 대화도 재미있었고 맥주도 맛있고 좋았습니다~!",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,칵테일이 예쁘고 맛있어요!! 오랜만에 민트잎 잔뜩 들어간 모히또 마시니 기분이 넘 좋았어요ㅎㅎ 친구는 논알콜 칵테일중에 망고 클라우드 주문했는데 망고 쉐이크 좋아해서 많이 뺐어먹었어요 이것두 존맛탱👍 망고 클라우드 위에 생크림 올라가는데 기본 안주로 주시는 프레첼 과자 찍어먹으면 꿀조합이에용😆 분위기도 좋고 루프탑까지 있어서 은근 자리도 많아요!! 안주로는 피자 골랐는데 모짜렐라랑 불고기 중에 고를 수 있어서 불고기피자로 먹었어요. 서비스로 추억의 팥빙수까지 주셔서 옛날 얘기하면서 맛나게 먹었습니다~👯‍♀️,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,분위기 좋구 맛도 좋은 펍! 너무좋아요~  루프탑도 아늑하고 좋아요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,우연히 들어섰는데 너무 멋진 시간이었습니다 ㅎㅎ 몽환적인 하와이st 트로피칼 인테리어가 일단 맘에 들었고 선곡도 청량해서 멍때리며 기분좋게 술마셨어요. 술 종류가 다양해서 좋구요 감튀만 먹어도 배부른걸 보니 가성비 넘칩니다. 비가 오지 않았다면 루프탑 파라솔 자리에서 즐겼을텐데 아쉽네요ㅠ 맛있게 즐겁게 잘 마시고 갑니다~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,스카이문 루프탑 예쁘다는 소문 듣고 찾아갔는데 취향 완전히 저격당했어요.🫢 인생샷 찍기 여기보다 좋은 곳이 있을까요?! 깔끔한 안주 플레이팅에 칵테일 맛은 너무 달콤해요 데이트하기에 분위기도 최고👍🏻,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,보라빛 간판부터 기대했는데 정말 신촌에서 젤 예쁜 칵테일바아닌가요ㅠㅠㅠ 루프탑 분위기도 좋아서 데이트하기에 안성맞춤이네요남자친구와 감탄했습니다.. 마티니와 새우 세트 먹었는데 술과 안주도 맛있어용 진짜 단골될듯요✨💓,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813099356,스카이문 루프탑,루프탑 바 처음 와봤는데 분위기도 좋고 오늘 날씨도 선선하니 칵테일 마시기 넘 좋은 곳이에요♡,(긍정 확률 : 0.98) 긍정,긍정,0.98
